ID,Disease,Name,MeSH_ID,Description
187,C0016034,Breast Fibrocystic Disease,D005348,"Fibrocystic breast disease, more accurately termed fibrocystic breast change, is a common benign, non-neoplastic disorder of the breast characterized by hormonally responsive cyst formation, stromal fibrosis, and varying degrees of epithelial hyperplasia, often classified into nonproliferative change, proliferative disease without atypia, and atypical ductal or lobular hyperplasia, the latter conferring a modestly increased future breast cancer risk. It is not usually inherited in a Mendelian pattern, but susceptibility reflects hormonal milieu and polygenic influences; representative molecular associations include estrogen receptor ESR1, progesterone receptor PGR, prolactin signaling components, growth-factor pathways such as EGFR/HER family members, cyclin D1/CCND1, and occasional overlap with hereditary breast cancer predisposition genes such as BRCA1 and BRCA2 when atypia or strong family history is present, although no single causative mutation defines typical disease. Pathobiology centers on estrogen- and progesterone-driven epithelial proliferation, fluid secretion, and stromal remodeling, with MAPK/ERK, PI3K/AKT, TGF-β, and prolactin/JAK-STAT signaling implicated. Clinical features include cyclic mastalgia, breast fullness, nodularity, tenderness, and palpable mobile cystic areas, usually fluctuating with the menstrual cycle. Diagnosis is based on history and breast examination, complemented by ultrasound for cystic lesions, mammography when age-appropriate, aspiration of symptomatic cysts, and core needle biopsy when imaging or examination suggests a solid, complex, persistent, or atypical lesion; pathology excludes malignancy and characterizes proliferative change. Commonly used treatments are symptomatic rather than disease-specific and include acetaminophen, a central analgesic; NSAIDs such as ibuprofen or topical diclofenac, which inhibit cyclooxygenase and reduce prostaglandin-mediated pain; and danazol, a pituitary gonadotropin suppressor that reduces ovarian estrogen production. Selected refractory cases may use tamoxifen, a selective estrogen receptor modulator, or bromocriptine, a dopamine D2 agonist that lowers prolactin. Comorbidities include anxiety about cancer, recurrent breast cysts, mastitis-like discomfort, and coexistence with benign breast lesions such as fibroadenoma."
188,C0016053,Fibromyalgia,D005356,"Fibromyalgia (MeSH D005356) is a chronic centralized pain syndrome characterized by widespread musculoskeletal pain, fatigue, nonrestorative sleep, cognitive dysfunction, and somatic symptom burden, often accompanied by tenderness, stiffness, headache, irritable bowel symptoms, and mood disturbance. Its pathobiology is multifactorial rather than monogenic, with genetic susceptibility supported by familial aggregation and low-to-moderate heritability; implicated genes include SLC6A4 and HTR2A in serotonergic signaling, COMT and MAOA in catecholamine metabolism, DRD4, TACR1, TRPV1, and adrenergic receptor variants, although no single mutation is diagnostic. Core mechanisms involve central sensitization with augmented nociceptive processing, impaired descending inhibitory pathways using serotonin and norepinephrine, glutamatergic and substance P excess, altered dopamine signaling, neuroinflammation with cytokines such as IL-6 and TNF-α, hypothalamic-pituitary-adrenal axis dysregulation, and small-fiber neuropathy in a subset. Commonly linked comorbidities include depression, anxiety, migraine, temporomandibular disorder, chronic fatigue syndrome, irritable bowel syndrome, interstitial cystitis, dysautonomia, obesity, and sleep disorders; complications include functional impairment, disability, and medication adverse effects. Recognized subtypes are primary fibromyalgia and secondary fibromyalgia occurring with rheumatic or other chronic disorders. Inheritance is complex polygenic and non-Mendelian, influenced by environmental triggers such as trauma, infection, and psychosocial stress. Diagnosis is clinical, based on the American College of Rheumatology criteria using widespread pain index and symptom severity scores, with generalized pain present for at least 3 months; laboratory testing, inflammatory markers, thyroid studies, and selective rheumatologic evaluation are mainly used to exclude mimicking conditions, while tender point examination is now supportive rather than required. Treatment commonly includes duloxetine and milnacipran, serotonin-norepinephrine reuptake inhibitors that enhance descending analgesic inhibition, and pregabalin, an α2δ calcium-channel ligand that reduces excitatory neurotransmitter release; amitriptyline, cyclobenzaprine, and gabapentin are also frequently used."
189,C0016204,Flatulence,D005414,"Flatulence (UMLS C0016204) is a symptom complex rather than a primary inherited disease, characterized by excessive intestinal gas production or impaired gas transit, leading to increased passage of flatus, abdominal bloating, borborygmi, pressure, and sometimes crampy pain; clinically it may be physiologic, diet related, dysbiotic, or secondary to gastrointestinal disorders such as lactose intolerance, fructose or FODMAP malabsorption, celiac disease, small intestinal bacterial overgrowth, irritable bowel syndrome, constipation, pancreatic exocrine insufficiency, inflammatory bowel disease, or gastrointestinal motility disorders. Genetic contributions are usually indirect and disease specific, with representative examples including LCT regulatory variants causing adult-type hypolactasia, sucrase-isomaltase (SI) defects causing carbohydrate maldigestion, CFTR mutations in cystic fibrosis, and genes affecting enteric neuromuscular function or visceral sensitivity in subsets of IBS; inheritance therefore depends on the underlying disorder, ranging from common complex polygenic susceptibility to autosomal recessive enzyme or transporter defects. Pathophysiologically, excess gas arises from colonic microbial fermentation and host-microbe interactions involving methane- and hydrogen-producing archaea and bacteria, epithelial transport, short-chain fatty acid signaling, serotonin-mediated motility pathways, bile acid handling, low-grade mucosal immune activation, and gut-brain axis dysregulation. Common treatments include simethicone, an anti-foaming agent that coalesces gas bubbles; alpha-galactosidase, which hydrolyzes nonabsorbable oligosaccharides before fermentation; lactase enzyme replacement for lactose maldigestion; rifaximin, a poorly absorbed antibiotic used particularly when SIBO or IBS is suspected; and probiotics that modulate microbial composition and fermentation. Comorbidities include functional dyspepsia, anxiety, depression, pelvic floor dysfunction, and chronic constipation; complications are usually limited to impaired quality of life, though persistent symptoms may signal malabsorption, weight loss, anemia, or serious structural disease. Diagnosis is clinical but guided by alarm features, dietary history, stool pattern, and symptom burden, with targeted testing such as lactose hydrogen breath testing, celiac serologies, SIBO breath tests, stool studies, fecal elastase, endoscopy, or imaging when indicated."
190,C0016436,Folliculitis,D005499,"Folliculitis (UMLS C0016436) is a usually acquired inflammatory disorder of the hair follicle, most often infectious but also irritant, occlusive, eosinophilic, or drug induced, characterized clinically by pruritic or tender follicular papules and pustules centered on hairs, sometimes with perifollicular erythema, crusting, pain, or postinflammatory hyperpigmentation and, in deeper forms such as sycosis barbae or furunculosis, nodules, abscesses, and scarring alopecia. Common subtypes include superficial bacterial folliculitis, hot-tub folliculitis due to Pseudomonas aeruginosa, Malassezia folliculitis, gram-negative folliculitis, pseudofolliculitis barbae, eosinophilic folliculitis, and dissecting or decalvans forms of the scalp. Pathobiology centers on follicular barrier disruption, microbial overgrowth, neutrophilic or eosinophilic inflammation, and innate immune signaling through Toll-like receptors, NF-kB, inflammasome/IL-1, TNF-alpha, IL-8/CXCL8, IL-17, and Th2 cytokines in eosinophilic disease; complement, keratinization pathways, and biofilm formation may contribute in chronic scarring variants. Genetic factors are usually indirect rather than Mendelian, but susceptibility is increased by immunodeficiency or barrier defects, with representative associations including HIV in eosinophilic folliculitis, CYBB-related chronic granulomatous disease, STAT3 deficiency, and keratinization-related disorders; recurrent staphylococcal disease can involve host variation affecting filaggrin, TLR2, or DEFB4-mediated antimicrobial defense. Treatment depends on cause and commonly includes topical or oral antibiotics such as mupirocin, which inhibits bacterial isoleucyl-tRNA synthetase, clindamycin, which blocks the 50S ribosomal subunit, and doxycycline, which inhibits the 30S subunit and also suppresses neutrophilic inflammation; other options include benzoyl peroxide, azoles such as ketoconazole for Malassezia, and isotretinoin, which reduces sebaceous activity and follicular occlusion. Comorbidities include diabetes, obesity, hidradenitis suppurativa, atopic dermatitis, acne, shaving trauma, and immunosuppression, while"
191,C0016867,Furunculosis,D005667,"Furunculosis (UMLS C0016867) is a usually acute, sometimes recurrent, deep bacterial infection of the hair follicle and perifollicular dermis that produces painful erythematous nodules evolving to pustular or fluctuant abscesses, most often caused by Staphylococcus aureus, including community-acquired MRSA, with common symptoms and signs of localized pain, warmth, swelling, purulent drainage, surrounding cellulitis, and occasionally fever or regional lymphadenitis; carbuncles represent a deeper, coalescent subtype, and chronic or recurrent furunculosis is recognized clinically. Its pathobiology centers on bacterial adhesion and biofilm formation, neutrophil recruitment, and innate immune signaling through TLR2, NF-κB, inflammasome/IL-1 and IL-17 axes, with virulence factors such as Panton-Valentine leukocidin and alpha-toxin contributing to tissue necrosis, while host susceptibility is increased by impaired skin barrier and immune dysfunction. Genetic contributions are generally predispositional rather than Mendelian, but recurrent disease may occur with variants affecting innate immunity, including MYD88, IRAK4, NCF1/NCF2/CYBB in chronic granulomatous disease, STAT3 in hyper-IgE syndrome, and FLG-mediated barrier dysfunction; inheritance therefore depends on the underlying disorder and may be autosomal dominant, autosomal recessive, or X-linked. Important comorbidities and complications include diabetes mellitus, obesity, hidradenitis suppurativa, atopic dermatitis, nasal S. aureus carriage, immunodeficiency, scarring, bacteremia, osteomyelitis, and rarely sepsis. Diagnosis is primarily clinical, supported when needed by examination for fluctuance, bacterial culture and susceptibility testing of drainage, MRSA screening, blood glucose/HbA1c, CBC, and immunologic or genetic evaluation in severe, early-onset, or recurrent cases. Treatment combines incision and drainage with anti-staphylococcal agents such as dicloxacillin or cephalexin, which inhibit bacterial cell-wall synthesis via penicillin-binding proteins, clindamycin, which inhibits 50S ribosomal protein synthesis, and trimethoprim-sulfamethoxazole or doxycycline, which inhibit folate synthesis and the 30S ribosome respectively; mupirocin and chlorhexidine are often used for decolonization."
192,C0017152,Gastritis,D005756,"Gastritis (MeSH D005756) is an inflammatory and often erosive or atrophic disorder of the gastric mucosa that may be acute or chronic and is classically subdivided into Helicobacter pylori-associated gastritis, autoimmune metaplastic atrophic gastritis, reactive/chemical gastritis from bile reflux or NSAIDs, eosinophilic gastritis, and stress-related hemorrhagic gastritis. Its pathobiology centers on epithelial injury and immune activation, with H. pylori virulence factors such as CagA and VacA driving NF-κB, MAPK, JAK/STAT, TLR, NLRP3 inflammasome, and cytokine pathways involving IL1B, IL8/CXCL8, TNF, IFNG, PTGS2/COX-2, and CDH1-related epithelial integrity; host susceptibility has been linked to polymorphisms in IL1B, IL10, TNFA, TLR4, and other inflammatory genes, while autoimmune disease features antibodies to ATP4A/ATP4B and intrinsic factor targeting parietal cells. Most cases are acquired rather than inherited, but familial clustering reflects polygenic inflammatory predisposition and, rarely, syndromic risk for diffuse gastric cancer in CDH1 mutation carriers with chronic gastritic change. Typical manifestations include epigastric pain or burning, postprandial fullness, nausea, vomiting, bloating, anorexia, occult or overt upper gastrointestinal bleeding, and in chronic atrophic forms iron deficiency or vitamin B12 deficiency with pernicious anemia. Important comorbidities and complications include peptic ulcer disease, intestinal metaplasia, dysplasia, gastric adenocarcinoma, MALT lymphoma, GI hemorrhage, and association with autoimmune thyroid disease, type 1 diabetes, and other autoimmune disorders. Diagnosis relies on clinical history, medication and alcohol review, H. pylori testing by urea breath test, stool antigen, or biopsy, upper endoscopy with histology for inflammation, activity, atrophy, metaplasia, or eosinophilia, CBC and iron/B12 studies, and serologies for parietal cell or intrinsic factor antibodies when autoimmune gastritis is suspected. Treatment commonly includes proton pump inhibitors such as omeprazole, which irreversibly inhibit the gastric H+/K+-ATPase, H2-receptor antagonists such as famotidine, which suppress histamine-mediated acid"
193,C0017168,Gastroesophageal Reflux,D005764,"Gastroesophageal reflux disease (GERD; MeSH D005764) is a common multifactorial disorder in which reflux of gastric contents into the esophagus causes troublesome symptoms or mucosal injury, driven primarily by transient lower esophageal sphincter relaxations, hypotensive lower esophageal sphincter tone, impaired esophageal clearance, delayed gastric emptying, hiatal hernia, and increased intra-abdominal pressure. Typical symptoms and signs include heartburn, acid regurgitation, sour taste, chest discomfort, dysphagia, odynophagia, chronic cough, hoarseness, throat clearing, laryngitis, and enamel erosion; major subtypes include nonerosive reflux disease, erosive reflux esophagitis, extraesophageal reflux, and Barrett-associated reflux. Molecular contributors are incompletely defined but include familial susceptibility and variants in genes influencing epithelial integrity, inflammation, and visceral sensation, with representative associations reported for GNB3, IL1B, IL10, COX2/PTGS2, MMP9, and collagen-related loci, while Barrett progression involves TP53 and CDKN2A alterations rather than uncomplicated GERD itself; inheritance is therefore complex polygenic rather than Mendelian. Relevant pathways include vagovagal and nitric oxide-mediated lower esophageal sphincter relaxation, inflammatory signaling through NF-kB, IL-1, IL-6, IL-8, TNF-alpha, cyclooxygenase-prostaglandin pathways, oxidative stress responses, and epithelial barrier dysfunction involving tight-junction proteins such as claudins and occludin. Treatment commonly uses proton pump inhibitors such as omeprazole, esomeprazole, and pantoprazole, which irreversibly inhibit the parietal-cell H+/K+-ATPase; H2-receptor antagonists such as famotidine, which reduce histamine-mediated acid secretion; alginate-antacids, which neutralize acid and form a raft barrier; and prokinetics such as metoclopramide, a dopamine D2 antagonist that enhances gastric emptying and lower esophageal sphincter tone. GERD is linked to obesity, pregnancy, asthma, chronic laryngitis, obstructive sleep apnea, and scleroderma, and complications include erosive esophagitis, peptic stricture, ulceration, bleeding, Barrett esophagus, and esophageal adenocarcinoma. Diagnosis is clinical in many patients but is confirmed"
194,C0017205,Gaucher Disease,D005776,"Gaucher disease (MeSH D005776) is a lysosomal storage disorder caused predominantly by autosomal recessive pathogenic variants in GBA1, which encodes the lysosomal hydrolase acid beta-glucosidase (glucocerebrosidase), leading to impaired degradation of glucosylceramide and glucosylsphingosine and accumulation of lipid-laden macrophages (Gaucher cells); common mutations include N370S (p.Asn409Ser) and L444P (p.Leu483Pro), while saposin C deficiency due to PSAP variants is a rare phenocopy. The central pathobiology involves lysosomal dysfunction, macrophage activation, cytokine-driven inflammation, ER stress, autophagy impairment, and disturbed sphingolipid metabolism, with downstream effects on osteoclast/osteoblast balance, spleen and liver reticuloendothelial compartments, and in neuronopathic forms the central nervous system. Type 1 disease is non-neuronopathic, whereas types 2 and 3 are acute and chronic neuronopathic forms. Typical manifestations include splenomegaly, hepatomegaly, anemia, thrombocytopenia, easy bruising, fatigue, growth delay, delayed puberty, bone pain, osteopenia, osteonecrosis, fractures, and marrow infiltration; neurologic signs such as gaze palsy, seizures, bulbar dysfunction, spasticity, and developmental regression characterize types 2 and 3. Important complications and comorbidities include hypersplenism, pulmonary hypertension, interstitial lung disease, gallstones, Parkinson disease risk in GBA1 carriers and patients, monoclonal gammopathy, and multiple myeloma. Diagnosis rests on low leukocyte or fibroblast glucocerebrosidase enzymatic activity, confirmatory GBA1 molecular testing, and supportive biomarkers such as elevated chitotriosidase, CCL18, and glucosylsphingosine, with MRI and bone evaluation used for staging. Treatment includes enzyme replacement therapy with imiglucerase, velaglucerase alfa, or taliglucerase alfa, which supply functional glucocerebrosidase to macrophages, and substrate reduction therapy with eliglustat or miglustat, which inhibit glucosylceramide synthase and reduce sphingolipid production."
195,C0017418,Genital chancre,,"Genital chancre is the classic primary lesion of sexually acquired syphilis, an infectious ulcerative disease caused by the spirochete Treponema pallidum, usually presenting as a solitary, painless, indurated ulcer with a clean base and associated non-tender regional lymphadenopathy, although lesions may be multiple, painful if secondarily infected, or atypical in immunocompromised hosts. It is not an inherited disorder and has no Mendelian transmission pattern; host genetic susceptibility is incompletely defined, but variability in innate and adaptive immune response genes, particularly HLA class II loci and cytokine-related pathways, may influence susceptibility and severity, while the pathogen’s relevant molecular determinants include outer membrane proteins such as TprK, which undergoes antigenic variation, fibronectin-binding proteins, and Tp47/TpN47 and other lipoproteins that stimulate host immunity. Pathobiology centers on spirochetal adhesion, tissue invasion, endothelial interaction, and a Th1-skewed inflammatory response involving macrophages, dendritic cells, CD4+ and CD8+ T cells, IFN-gamma, TNF-alpha, and NF-kB/TLR1-TLR2 signaling. Important subtypes are syphilitic chancres of primary syphilis, including genital, anal, and oral inoculation lesions, with progression to secondary, latent, tertiary, or neurosyphilitic disease if untreated. Standard therapy includes benzathine penicillin G, a beta-lactam that inhibits bacterial cell wall peptidoglycan cross-linking; doxycycline, a tetracycline that binds the 30S ribosomal subunit and blocks protein synthesis; ceftriaxone, a cephalosporin that also inhibits cell wall synthesis; and, less commonly in selected situations, azithromycin, a macrolide targeting the 50S ribosomal subunit, though resistance can occur via 23S rRNA mutations such as A2058G. Major comorbidities and complications include HIV coinfection, other sexually transmitted infections, secondary bacterial superinfection, progression to disseminated syphilis, vertical transmission causing congenital syphilis, and, later, cardiovascular or neurologic involvement. Diagnosis rests on compatible clinical findings plus direct detection by dark-field microscopy, PCR, or direct fluorescent antibody testing from lesion exudate, together with serologic confirmation using nontreponemal tests such as RPR"
196,C0017536,Giardiasis,D005873,"Giardiasis (MeSH D005873) is a noninvasive protozoal infection of the upper small intestine caused by Giardia duodenalis (syn. G. lamblia, G. intestinalis), typically transmitted by the fecal-oral route through contaminated water, food, or person-to-person spread, and clinically ranging from asymptomatic carriage to acute or chronic diarrheal disease. Major assemblages infecting humans are A and B, with parasite virulence and host susceptibility influenced by giardial variant-specific surface proteins, giardins, arginine deiminase, cysteine proteases, and host immune genes affecting mucosal defense, including IgA production and HLA-linked responses; increased risk is seen in primary humoral immunodeficiencies such as common variable immunodeficiency, X-linked agammaglobulinemia, and selective IgA deficiency, but the infection itself is not inherited. Pathobiology involves epithelial adherence by the ventral disc, disruption of tight-junction and brush-border function, mast-cell and T-cell responses, IL-6/IL-17- and nitric oxide-related pathways, and malabsorption driven by enterocyte injury and altered bile acid and electrolyte handling. Typical findings are foul-smelling greasy diarrhea, steatorrhea, bloating, flatulence, abdominal cramps, nausea, weight loss, fatigue, and failure to thrive in children; complications include chronic malabsorption, lactose intolerance, micronutrient deficiency, post-infectious irritable bowel syndrome, growth impairment, and occasionally reactive arthritis or urticaria. Diagnosis is established by stool antigen or nucleic acid amplification testing, ova-and-parasite microscopy on serial stool specimens demonstrating cysts or trophozoites, or duodenal aspirate/biopsy when stool tests are negative but suspicion remains. Standard therapy includes metronidazole, tinidazole, and nitazoxanide; nitroimidazoles are reduced in anaerobic metabolism to DNA-damaging radicals, whereas nitazoxanide inhibits pyruvate:ferredoxin oxidoreductase-dependent electron transfer. Albendazole, which disrupts parasite microtubules by binding beta-tubulin, is an alternative, and refractory disease may require combination therapy and evaluation for underlying immunodeficiency or reinfection."
197,C0017574,Gingivitis,D005891,"Gingivitis (UMLS C0017574) is a common, usually reversible inflammatory disease of the gingiva caused primarily by dental plaque biofilm, with subtypes including plaque-induced gingivitis and non–plaque-induced forms related to hormonal changes, drugs, allergy, infection, or systemic disease. It typically presents with erythema, edema, tenderness, halitosis, and bleeding on brushing or probing, while attachment loss and alveolar bone destruction are absent, distinguishing it from periodontitis. Pathobiology is driven by host-microbial interactions involving dysbiotic organisms and activation of innate and adaptive immune pathways, particularly Toll-like receptor signaling, NF-κB, MAPK, inflammasome activity, and cytokine networks centered on IL1B, IL6, TNF, CXCL8, PTGS2/COX-2, matrix metalloproteinases such as MMP8 and MMP9, and RANKL/OPG balance; salivary or tissue biomarkers may reflect these processes. Genetic contribution is modest and usually complex rather than Mendelian, but susceptibility has been linked to variants in IL1A/IL1B, TNF, IL6, TLR4, VDR, DEFB1, and Fc gamma receptor genes, while rare syndromic backgrounds with severe gingival inflammation can occur in immune dysfunction states; inheritance therefore is generally multifactorial with gene-environment interaction. Important comorbidities and modifiers include diabetes mellitus, smoking, pregnancy, puberty, malnutrition, immunodeficiency, leukemia, and poor oral hygiene, and complications include progression to periodontitis, gingival enlargement, ulceration, and tooth-supporting tissue damage if persistent. Diagnosis is clinical, based on visible inflammation and bleeding on probing without clinical attachment loss, supported by periodontal charting, plaque and bleeding indices, radiographs to exclude bone loss, and selective microbiologic, hematologic, or biopsy evaluation when atypical disease is suspected. Treatment centers on plaque control and professional debridement, with adjunctive drugs such as chlorhexidine, a broad-spectrum membrane-disrupting bisbiguanide antiseptic; metronidazole, which damages anaerobic bacterial DNA after intracellular reduction; doxycycline, a tetracycline that inhibits bacterial protein synthesis and, at subantimicrobial dosing, suppresses MMP activity; and for symptom relief, ibuprofen, a COX inhibitor that reduces prostaglandin-mediated inflammation."
198,C0017601,Glaucoma,D005901,"Glaucoma (MeSH D005901) is a heterogeneous group of progressive optic neuropathies characterized by retinal ganglion cell loss, optic nerve head cupping, and corresponding visual field defects, usually but not invariably associated with elevated intraocular pressure from impaired aqueous humor outflow. Major subtypes include primary open-angle glaucoma, normal-tension glaucoma, primary angle-closure glaucoma, congenital/juvenile glaucoma, and secondary glaucomas such as pseudoexfoliative, pigmentary, uveitic, neovascular, and steroid-induced disease. Clinical features include initially asymptomatic peripheral field loss, progressive tunnel vision, increased cup-to-disc ratio, retinal nerve fiber layer thinning, and in acute angle closure severe ocular pain, halos, headache, nausea, corneal edema, and a mid-dilated fixed pupil. Genetic contributors include MYOC mutations causing juvenile/adult-onset open-angle glaucoma, CYP1B1 and TEK/ANGPT1 in congenital glaucoma, OPTN and TBK1 in normal-tension glaucoma, and LOXL1 in exfoliation syndrome; inheritance is often complex polygenic, although autosomal dominant MYOC- or OPTN-related disease and autosomal recessive CYP1B1-related disease are recognized. Pathobiology involves trabecular meshwork dysfunction, extracellular matrix remodeling, TGF-β, Wnt, Rho kinase, myocilin-induced ER stress, vascular dysregulation, mitochondrial dysfunction, glutamate excitotoxicity, neuroinflammation, and apoptosis. Treatment aims to lower intraocular pressure: prostaglandin analogs such as latanoprost increase uveoscleral outflow; beta-blockers such as timolol reduce aqueous production; carbonic anhydrase inhibitors such as dorzolamide or acetazolamide reduce bicarbonate-dependent secretion; alpha2-agonists such as brimonidine decrease production and increase outflow; pilocarpine enhances trabecular outflow; and rho-kinase inhibitors such as netarsudil increase conventional outflow and lower episcleral venous pressure. Comorbidities and complications include cataract, myopia or hyperopia depending on subtype, diabetes, hypertension, sleep apnea, migraine, uveitis, retinal vein occlusion, and irreversible blindness. Diagnosis relies on tonometry, gonioscopy, optic disc examination, pachymetry, automated perimetry, OCT of retinal nerve fiber/ganglion cell layers, and when"
199,C0017605,"Glaucoma, Angle-Closure",D015812,"Angle-closure glaucoma is a vision-threatening ocular disorder in which mechanical obstruction of aqueous humor outflow at the iridocorneal angle, usually from pupillary block, plateau iris configuration, or lens-related crowding, causes abrupt or chronic elevation of intraocular pressure and optic neuropathy; major subtypes include primary angle-closure suspect, primary angle closure, acute primary angle-closure crisis, chronic angle-closure glaucoma, and secondary forms due to neovascularization, uveitis, lens intumescence, or drugs. Genetic susceptibility is complex and usually multifactorial rather than Mendelian, with associations reported for PLEKHA7, COL11A1, PCMTD1-ST18, EPDR1, FERMT2, and matrix-remodeling genes such as MMP9, while rare familial clustering reflects inherited ocular biometry including short axial length and shallow anterior chamber. Relevant molecular pathways include extracellular matrix and scleral/corneal remodeling, TGF-β signaling, MMP-mediated tissue turnover, iris stromal and ciliary body anatomy, aqueous humor dynamics involving carbonic anhydrase, Na+/K+-ATPase, and adrenergic/cholinergic regulation, and in secondary disease VEGF-driven neovascular angle closure. Patients typically present with severe ocular pain, blurred vision, halos, headache, nausea, vomiting, conjunctival injection, corneal edema, mid-dilated poorly reactive pupil, shallow anterior chamber, and markedly elevated intraocular pressure, whereas chronic disease may be insidious with peripheral anterior synechiae, glaucomatous cupping, and visual field loss. Diagnosis relies on tonometry, gonioscopy demonstrating appositional or synechial angle closure, slit-lamp examination, optic nerve and retinal nerve fiber layer assessment, automated perimetry, anterior-segment OCT or ultrasound biomicroscopy, and biometric evaluation. Treatment commonly includes acetazolamide, a carbonic anhydrase inhibitor that reduces aqueous production; topical timolol, a β-adrenergic blocker that decreases aqueous secretion; pilocarpine, a muscarinic agonist producing miosis and opening the angle; and often brimonidine, an α2-agonist reducing production and increasing uveoscleral outflow, with laser peripheral iridotomy or lens extraction definitive in many cases. Important comorbidities and complications include cataract, hyperopia, diabetes, vascular disease, recurrent attacks, syne"
200,C0017612,"Glaucoma, Open-Angle",D005902,"Open-angle glaucoma is a chronic, progressive optic neuropathy, usually bilateral and often asymmetrical, characterized by retinal ganglion cell loss, optic nerve head cupping, and corresponding visual field defects, most commonly primary open-angle glaucoma but including normal-tension, juvenile-onset, and secondary open-angle forms such as pseudoexfoliative and pigmentary glaucoma. Its pathobiology centers on impaired aqueous humor outflow through the trabecular meshwork and Schlemm canal, extracellular matrix remodeling, TGF-β signaling, MYOC-associated endoplasmic reticulum stress, oxidative stress, mitochondrial dysfunction, neuroinflammation, and glutamate-mediated or other apoptotic pathways affecting retinal ganglion cells. Genetic contributors include MYOC mutations, especially in juvenile and some adult familial cases, OPTN and TBK1 in normal-tension glaucoma, CYP1B1 in early-onset disease, and common risk loci such as CDKN2B-AS1, CAV1/CAV2, TMCO1, SIX6, and LOXL1 in pseudoexfoliation-related disease; inheritance is often complex and multifactorial, although autosomal dominant transmission is seen with some MYOC pedigrees and copy-number variation involving TBK1. Patients are frequently asymptomatic until peripheral visual field loss develops; signs include elevated intraocular pressure in many but not all cases, open anterior chamber angles on gonioscopy, increased cup-to-disc ratio, retinal nerve fiber layer thinning, optic disc hemorrhages, and arcuate, nasal step, or paracentral defects on perimetry. Diagnosis relies on tonometry, pachymetry, gonioscopy, dilated optic nerve examination, automated visual field testing, and optical coherence tomography of the retinal nerve fiber layer and ganglion cell complex, with risk stratification aided selectively by family history and genetic testing. Major comorbidities and complications include cataract, myopia, diabetes, hypertension, vascular dysregulation, sleep apnea, and irreversible blindness. Standard treatments lower intraocular pressure: prostaglandin analogs such as latanoprost increase uveoscleral outflow, topical beta-blockers such as timolol reduce aqueous production, carbonic anhydrase inhibitors such as dorzolamide decrease bicarbonate-dependent aqueous secretion, and alpha2-agonists such as brimonidine both reduce production and enhance uveoscleral outflow."
201,C0018021,Goiter,D006042,"Goiter (MeSH D006042) is an enlargement of the thyroid gland that may be diffuse or nodular and occur in euthyroid, hypothyroid, or hyperthyroid states, most commonly from iodine deficiency, autoimmune disease, or autonomous nodular growth. Genetic contributors include germline defects in thyroid hormone synthesis and thyroid development genes such as TSHR, TG, TPO, SLC5A5/NIS, SLC26A4, DUOX2, DUOXA2, IYD, PAX8, NKX2-1, FOXE1, and TSHB, while somatic activating mutations in TSHR or GNAS are classic in toxic adenoma and toxic multinodular goiter. Key biology involves the hypothalamic-pituitary-thyroid axis, especially TSH-TSHR signaling through cAMP/PKA and growth-promoting PI3K-AKT and MAPK pathways, as well as iodide transport, organification, thyroglobulin iodination, and autoimmune inflammatory pathways in Graves disease and Hashimoto thyroiditis. Clinical features include visible or palpable neck swelling, pressure symptoms such as dysphagia, dyspnea, cough, hoarseness, and manifestations of thyroid dysfunction including weight change, heat or cold intolerance, tremor, palpitations, constipation, and fatigue. Major subtypes are diffuse nontoxic goiter, multinodular goiter, toxic multinodular goiter, endemic goiter, sporadic goiter, and congenital dyshormonogenetic goiter. Inheritance is often multifactorial, but congenital forms may be autosomal recessive, whereas susceptibility variants in transcription-factor genes can be familial. Diagnosis relies on history and examination, serum TSH with free T4 and T3, thyroid autoantibodies when autoimmune disease is suspected, ultrasonography to define size and nodules, radionuclide uptake scanning for functional autonomy, urinary iodine in population assessment, and fine-needle aspiration for suspicious nodules. Treatment depends on cause and physiology and commonly includes levothyroxine to replace hormone and suppress TSH in selected hypothyroid or diffuse goiters, methimazole or propylthiouracil to inhibit thyroid peroxidase-mediated hormone synthesis, radioactive iodine to ablate hyperfunctioning tissue, iodine supplementation in deficiency, and surgery for compressive symptoms or malignancy concern; complications include airway or esophageal compression, arr"
