ID,Drug,Name,Smile,Description
67,DB00230,Pregabalin,CC(C)C[C@H](CN)CC(O)=O,"Pregabalin (DrugBank DB00230) is a small, highly polar γ-aminobutyric acid analog built on an aliphatic amino acid-like framework, structurally characterized as an isobutyl-substituted GABA mimic with a flexible saturated carbon chain bearing a primary amine and a carboxylic acid; chemically it is classified as a gabapentinoid and more broadly as a substituted amino acid, with a simple acyclic GABA-related scaffold rather than a heteroaromatic core. It is closely related to gabapentin and is sometimes compared pharmacologically with mirogabalin, although pregabalin has distinct potency and pharmacokinetic properties. Its principal molecular target is the α2δ auxiliary subunit of voltage-gated calcium channels, especially CACNA2D1 and CACNA2D2, through which it reduces presynaptic calcium influx and decreases release of excitatory neurotransmitters; it does not meaningfully act as a direct GABA receptor agonist. Pregabalin is rapidly and extensively absorbed orally with high bioavailability, low protein binding, broad distribution into total body water, minimal metabolism, and predominantly renal excretion as unchanged drug, with elimination closely tied to kidney function. Toxicity is usually dominated by dose-related CNS depression, dizziness, somnolence, ataxia, blurred vision, and cognitive slowing, with overdose often causing sedation and confusion; peripheral edema, weight gain, misuse liability, and respiratory depression can occur, particularly with opioids or other sedatives. Clinically it is used for neuropathic pain states such as diabetic peripheral neuropathy, postherpetic neuralgia, and spinal cord injury-related pain, as adjunctive therapy for partial seizures, for fibromyalgia, and in some regions for generalized anxiety disorder."
68,DB00231,Temazepam,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,"Temazepam (DrugBank DB00231) is a 3-hydroxylated 1,4-benzodiazepine whose structure consists of a fused benzene and seven-membered diazepine ring bearing a 2-keto group, a 5-phenyl substituent, a 7-chloro substituent, and a hydroxyl group at C3; chemically it is a benzodiazepine anxiolytic-sedative/hypnotic, and its core scaffold is the classical 1,4-benzodiazepin-2-one nucleus. It is closely related to other benzodiazepines, particularly oxazepam and diazepam, and shares pharmacologic similarity with nitrazepam, lorazepam, and triazolam as positive allosteric modulators of GABAA receptors, acting at the benzodiazepine site on receptor complexes containing subunits such as GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, and GABRG2. Temazepam is used primarily for the short-term treatment of insomnia, especially sleep-onset difficulty and nocturnal awakenings, and has also been used as a nighttime sedative in severely agitated or anxious patients. After oral administration it is well absorbed, reaches peak plasma concentrations within a few hours, is moderately protein bound, distributes into the CNS, undergoes minimal oxidative biotransformation compared with many benzodiazepines, and is cleared mainly by hepatic conjugation to glucuronides followed by renal excretion; its elimination half-life is generally intermediate, supporting bedtime dosing. Toxicity is dominated by dose-related CNS and respiratory depression, psychomotor impairment, falls, confusion, and overdose risk that is heightened by alcohol, opioids, or other sedatives; side effects commonly include daytime drowsiness, dizziness, ataxia, anterograde amnesia, headache, tolerance, dependence, rebound insomnia, and withdrawal symptoms including anxiety or seizures after abrupt discontinuation."
69,DB00232,Methyclothiazide,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,"Methyclothiazide (DrugBank DB00232) is a thiazide diuretic characterized structurally by a chlorinated benzothiadiazine 1,1-dioxide core bearing sulfonamide functionality and a 3-methyl substituent, a compact heteroaromatic sulfonamide architecture that confers weak acidity and renal tubular activity; chemically it belongs to the benzothiadiazine sulfonamide class, and its defining scaffold is the 1,2,4-benzothiadiazine ring system shared with classic thiazides. Closely related drugs include hydrochlorothiazide, chlorothiazide, bendroflumethiazide, polythiazide, and hydroflumethiazide, which have similar saluretic mechanisms and structure-activity relationships. Its principal target is the thiazide-sensitive sodium-chloride cotransporter SLC12A3 in the distal convoluted tubule, leading to increased urinary sodium and chloride excretion with secondary potassium and magnesium loss and reduced calcium excretion. After oral administration, methyclothiazide is absorbed adequately, distributes mainly in extracellular fluid with limited tissue accumulation, shows little clinically important biotransformation, and is eliminated predominantly by the kidney as unchanged drug, with a relatively prolonged duration of action compared with some older thiazides. It is indicated for hypertension and edema, including edema associated with congestive heart failure, hepatic cirrhosis, corticosteroid or estrogen therapy, and some renal disorders. Adverse effects and toxicity reflect excessive diuresis and electrolyte depletion, including hyponatremia, hypokalemia, hypomagnesemia, dehydration, orthostatic hypotension, hyperuricemia precipitating gout, hyperglycemia, rash, photosensitivity, and rare sulfonamide hypersensitivity; severe overdose may cause profound volume depletion, weakness, arrhythmia, or confusion. Clinically, it has been used as an oral antihypertensive and adjunct diuretic, often in patients needing chronic blood pressure control or mobilization of mild to moderate fluid retention."
70,DB00233,Aminosalicylic acid,NC1=CC(O)=C(C=C1)C(O)=O,"Aminosalicylic acid, DrugBank DB00233, usually referring to para-aminosalicylic acid (PAS), is a small aromatic aminophenol-carboxylic acid characterized by a benzoic acid ring bearing an amino substituent para to the carboxyl group and a hydroxyl group ortho to the amino group; chemically it is an aminosalicylate, a salicylic acid derivative, and more broadly an aromatic carboxylic acid with a simple substituted benzenoid scaffold. It is structurally related to salicylic acid and resembles folate-pathway antimetabolites, with similarity to sulfonamides and to other salicylates such as mesalamine and acetylsalicylic acid in scaffold class, though its antimycobacterial role is distinct. PAS is used primarily as a second-line antitubercular agent for multidrug-resistant Mycobacterium tuberculosis, historically also in combination regimens for resistant pulmonary and extrapulmonary tuberculosis. Its best supported target is dihydropteroate synthase in the folate biosynthetic pathway, and it may also act through incorporation into folate intermediates affecting dihydrofolate synthase/folC-dependent metabolism. Orally administered PAS is absorbed variably from the gastrointestinal tract, distributed systemically with limited CNS penetration unless meninges are inflamed, extensively acetylated in the liver and intestinal mucosa to inactive metabolites, and excreted mainly in urine as parent drug and acetylated products, with a relatively short half-life requiring divided dosing. Toxicity is dominated by dose-limiting gastrointestinal intolerance, hepatotoxicity including hepatitis, hypersensitivity reactions, malabsorption, hypothyroidism especially with ethionamide, and occasional crystalluria or hemolytic complications. Common adverse effects include nausea, vomiting, abdominal pain, diarrhea, fever, rash, arthralgia, and elevated liver enzymes; clinically it is reserved for combination treatment of drug-resistant tuberculosis when first-line agents cannot be used or are ineffective."
71,DB00234,Reboxetine,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,"Reboxetine (DrugBank DB00234) is a selective norepinephrine reuptake inhibitor built on an aryloxy-benzyl morpholine framework, structurally characterized by a substituted phenoxy ring linked through a chiral benzylic center and propoxy chain to a morpholine heterocycle; chemically it is an aryl ether, morpholine-containing antidepressant and belongs to the phenoxypropylamine-related norepinephrine reuptake inhibitor class, with a scaffold closely related to other NRIs such as atomoxetine and, more broadly, to dual reuptake inhibitors like viloxazine and duloxetine in pharmacologic behavior. Its principal target is the norepinephrine transporter SLC6A2, with minimal activity at serotonin and dopamine transporters relative to classical tricyclics. Reboxetine is used primarily for major depressive disorder, particularly presentations marked by psychomotor retardation, low energy, and impaired concentration, and has also been used off-label in disorders such as panic disorder, ADHD, and treatment-resistant depression as an augmenting agent. It is well absorbed orally, has good systemic bioavailability, distributes widely with moderate protein binding, undergoes extensive hepatic metabolism mainly via CYP3A4 to less active metabolites, and is eliminated predominantly in urine with a terminal half-life supporting twice-daily or once-daily dosing in some patients. Adverse effects reflect noradrenergic excess and include dry mouth, insomnia, sweating, tachycardia, constipation, urinary hesitation, anorexia, and dizziness. Toxicity is generally less cardiotoxic than tricyclic antidepressants but may include hypertension, agitation, seizures in overdose, and worsening suicidality or mood instability in susceptible patients, with caution warranted in hepatic impairment, glaucoma, urinary retention, and concomitant CYP3A4 inhibitor exposure."
72,DB00235,Milrinone,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,"Milrinone (DrugBank DB00235) is a bipyridine-derived cardiotonic agent whose structure is centered on a substituted 2-pyridone ring system, specifically a 1,6-dihydro-2-methyl-6-oxo-[3,4-bipyridine]-5-carbonitrile framework, giving it a planar, heteroaromatic nitrogen-containing scaffold with a nitrile substituent and lactam-like carbonyl that are important for phosphodiesterase binding; chemically it is classified as a phosphodiesterase-3 inhibiting inodilator and more broadly as a bipyridine/pyridone nitrile heterocycle. Its core scaffold and pharmacology are closely related to other PDE3 inhibitors such as inamrinone (amrinone), enoximone, and cilostazol, although milrinone is used primarily for cardiac rather than antiplatelet or peripheral vascular indications. Its principal targets are phosphodiesterase 3A and 3B, with inhibition increasing intracellular cAMP in cardiomyocytes and vascular smooth muscle, thereby producing positive inotropy, lusitropy, and vasodilation. Milrinone is administered intravenously, with essentially complete systemic availability by that route, rapid onset, low-to-moderate protein binding, distribution largely in extracellular fluid, minimal hepatic metabolism, and predominant renal excretion of unchanged drug, so clearance is substantially prolonged in renal impairment. Clinically it is indicated for short-term management of acute decompensated heart failure, low-output states after cardiac surgery, and cardiogenic shock in selected settings. Major toxicities and adverse effects include dose-related ventricular and supraventricular arrhythmias, hypotension, headache, tachycardia, thrombocytopenia, and, with prolonged use of PDE3 inotropes, increased mortality in chronic heart failure, limiting use to monitored short-term hemodynamic support."
73,DB00237,Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,"Butabarbital (DrugBank DB00237) is a short- to intermediate-acting sedative-hypnotic barbiturate whose structure is based on a 2,4,6-trioxohexahydropyrimidine barbituric acid core substituted at the 5-position with ethyl and sec-butyl groups, making it a 5,5-disubstituted oxybarbiturate; chemically it belongs to the barbiturates, a cyclic ureide class, and its defining scaffold is the barbiturate pyrimidinetrione ring. Closely related drugs include other CNS-depressant barbiturates such as secobarbital, pentobarbital, amobarbital, phenobarbital, and butalbital, which share the same core scaffold but differ in 5-position substitution and duration of action. Its principal pharmacologic target is the GABAA receptor chloride channel complex, at which barbiturates act as positive allosteric modulators and, at higher concentrations, direct channel activators; secondary functional effects include generalized suppression of excitatory neurotransmission. Butabarbital is generally well absorbed orally, distributes widely into the CNS and other tissues, is variably protein bound, undergoes substantial hepatic biotransformation mainly by oxidation and related phase I pathways with some potential for enzyme induction, and is eliminated as metabolites and a smaller fraction of unchanged drug in urine. It has been used for short-term treatment of insomnia and as a preanesthetic sedative or anxiolytic for procedural anxiety. Adverse effects include drowsiness, dizziness, impaired coordination, cognitive slowing, hangover sedation, nausea, and paradoxical excitement; toxic effects include dose-dependent respiratory depression, hypotension, coma, dependence, withdrawal syndromes including seizures, and potentially fatal overdose, especially with alcohol, opioids, or other sedative-hypnotics."
74,DB00238,Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,"Nevirapine (DB00238) is a dipyridodiazepinone antiretroviral whose structure consists of a rigid, highly conjugated fused heteroaromatic tricyclic system containing two pyridine-like rings annelated to a seven-membered diazepinone core with a cyclopropyl substituent, giving a lipophilic, planar non-nucleoside reverse transcriptase inhibitor chemotype; chemically it belongs to the NNRTI class and more broadly to heterocyclic aromatic diazepinones, with a dipyridodiazepinone scaffold shared conceptually with other HIV-1 NNRTIs such as efavirenz, delavirdine, etravirine, and rilpivirine, although those agents differ in ring system and flexibility. Its principal target is HIV-1 reverse transcriptase, to which it binds at the allosteric NNRTI pocket distinct from the polymerase active site, thereby inhibiting viral DNA synthesis; it has no meaningful activity against HIV-2 reverse transcriptase. Nevirapine is indicated for treatment of HIV-1 infection, including combination antiretroviral therapy in adults and children and, historically, prevention of mother-to-child transmission. It is well absorbed orally, has high bioavailability, distributes widely with moderate protein binding and good penetration into placenta and breast milk, undergoes extensive hepatic oxidation primarily via CYP3A4 and CYP2B6 to hydroxylated metabolites followed by glucuronidation, autoinduces its own metabolism over the first weeks of therapy, and is eliminated mainly in urine as conjugated metabolites with a terminal half-life that decreases after autoinduction. Major toxicities include severe rash, Stevens-Johnson syndrome, toxic epidermal necrolysis, and potentially fatal hepatotoxicity, especially in women with higher CD4 counts; common adverse effects include rash, fever, nausea, headache, fatigue, transaminase elevation, and hepatitis. Clinically, it has been used in multidrug HIV regimens, but use now requires careful monitoring for hepatic injury, cutaneous hypersensitivity, and CYP-mediated drug interactions."
75,DB00239,Oxiconazole,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,"Oxiconazole (DrugBank DB00239) is a topical imidazole antifungal whose structure is characterized by a substituted imidazole ring attached to a lipophilic diaryl ether framework bearing chlorinated phenyl groups and a dioxolane-containing side chain, a design that confers strong membrane affinity and potent inhibition of fungal sterol synthesis. Chemically, it belongs to the azole antifungals, specifically the imidazole subclass, and its core scaffold is an aryl-imidazole ether closely related to other topical imidazoles. Similar drugs include clotrimazole, miconazole, econazole, ketoconazole, and sulconazole, which share the azole pharmacophore and antifungal mechanism. Its principal target is fungal lanosterol 14-alpha-demethylase, a cytochrome P450 enzyme encoded by ERG11/CYP51, leading to depletion of ergosterol and disruption of fungal membrane integrity; off-target interaction with mammalian CYP enzymes is possible but clinically limited with topical use. Oxiconazole is indicated for superficial dermatophyte and yeast infections, including tinea pedis, tinea cruris, tinea corporis, and cutaneous candidiasis, and is used clinically as a cream or lotion for localized pruritic, erythematous, scaling lesions. Pharmacokinetically, systemic absorption through intact skin is minimal, distribution is largely confined to the stratum corneum and superficial epidermis, and because plasma exposure is negligible, metabolism and excretion are not well characterized but would be expected to follow limited hepatic biotransformation and biliary or renal elimination of small absorbed fractions. Toxicity is generally low and primarily local, with examples including irritation, burning, stinging, pruritus, erythema, maceration, and contact dermatitis; serious systemic toxicity is rare, and overdose is unlikely except with inappropriate extensive application or accidental ingestion."
76,DB00240,Alclometasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,"Alclometasone (DrugBank DB00240), used clinically as alclometasone dipropionate, is a synthetic halogenated corticosteroid with a pregnane steroid nucleus characterized by the classic four-ring cyclopentanoperhydrophenanthrene scaffold, a 3-keto-4-ene A-ring, 11β-hydroxyl and 17α/21-propionate ester substitution, and a 9α-chloro group that enhances topical anti-inflammatory potency; chemically it belongs to the glucocorticoid corticosteroid class and more specifically to medium-potency topical corticosteroid esters built on the hydrocortisone/prednisolone-like steroid scaffold. Structurally and pharmacologically similar drugs include hydrocortisone butyrate, desonide, triamcinolone acetonide, betamethasone valerate, and clobetasol propionate, which share the same steroidal anti-inflammatory pharmacophore but differ in halogenation, esterification, and potency. Its principal target is the glucocorticoid receptor NR3C1, with downstream repression of proinflammatory mediators including cytokines, prostaglandins, and leukotrienes through glucocorticoid-responsive gene regulation and lipocortin induction. After topical administration, systemic absorption is usually low but increases with damaged skin, occlusion, large treatment area, prolonged use, or pediatric exposure; absorbed drug is distributed systemically, extensively metabolized hepatically by ester hydrolysis and steroid biotransformation to less active metabolites, and excreted mainly in urine with some fecal elimination. It is indicated for corticosteroid-responsive dermatoses such as atopic dermatitis, allergic contact dermatitis, irritant dermatitis, eczema, and localized psoriasis, and is used clinically to reduce pruritus, erythema, scaling, and inflammation on sensitive areas including the face and intertriginous regions. Toxicities include local skin atrophy, striae, telangiectasia, acneiform eruption, perioral dermatitis, hypopigmentation, delayed wound healing, and secondary infection, while excessive systemic exposure can cause hypothalamic-pituitary-adrenal axis suppression, hyperglycemia, Cushingoid features, and growth suppression in children."
77,DB00241,Butalbital,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,"Butalbital (DrugBank DB00241) is a short- to intermediate-acting barbiturate whose structure is a 5,5-disubstituted barbituric acid derivative built on a pyrimidine-2,4,6-trione ring bearing ethyl and sec-butyl substituents, conferring substantial lipophilicity and central nervous system depressant activity; chemically it belongs to the barbiturate sedative-hypnotics, with the classic barbituric acid scaffold shared by related agents such as phenobarbital, pentobarbital, secobarbital, amobarbital, and thiopental. Its pharmacology is mediated primarily through positive allosteric modulation of GABAA receptor chloride channels, with barbiturates also capable at higher concentrations of directly prolonging channel opening and broadly suppressing neuronal excitability; no single highly selective protein target defines its action beyond GABAA receptor subunit complexes. Orally administered butalbital is well absorbed, widely distributed including across the blood-brain barrier, moderately protein bound, hepatically metabolized mainly by microsomal oxidation and related biotransformation pathways, and eliminated predominantly in urine as metabolites with some unchanged drug; its relatively long elimination half-life supports prolonged sedative effects and risk of accumulation. Toxicity is typical of barbiturates and includes dose-related CNS and respiratory depression, coma, hypotension, impaired psychomotor performance, dependence, tolerance, withdrawal seizures, and potentially fatal overdose, especially with alcohol, opioids, or benzodiazepines. Adverse effects commonly include drowsiness, dizziness, nausea, sedation, confusion, and impaired coordination. Clinically, butalbital is used chiefly in combination products for tension headache and selected refractory headache syndromes, for example with acetaminophen, aspirin, caffeine, and sometimes codeine, although use is limited by abuse liability and medication-overuse headache."
78,DB00242,Cladribine,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,"Cladribine (DB00242) is a chlorinated purine nucleoside analog structurally defined as 2-chloro-2′-deoxyadenosine, consisting of a 2-chloroadenine base linked through a β-N9-glycosidic bond to a 2-deoxyribose sugar; chemically it belongs to the antimetabolite, purine analog, and deoxynucleoside analog classes, with a deoxyadenosine scaffold modified by halogen substitution that confers resistance to adenosine deaminase. Closely related drugs include fludarabine, clofarabine, nelarabine, and deoxyadenosine-derived cytotoxic nucleosides such as cytarabine by therapeutic analogy. Its activity depends on intracellular phosphorylation, primarily by deoxycytidine kinase, to cladribine triphosphate, which accumulates especially in lymphocytes and inhibits DNA synthesis and repair while promoting strand breaks and apoptosis; relevant targets and pathway proteins include deoxycytidine kinase, ribonucleotide reductase, DNA polymerases, and enzymes involved in DNA repair, with adenosine deaminase resistance being pharmacologically important. Oral absorption is clinically useful though variable, distribution is wide with intracellular trapping in lymphoid cells and some CNS penetration, protein binding is low, metabolism is limited relative to deamination-susceptible analogs, and elimination occurs through both renal excretion and intracellular nucleotide turnover. Major toxicities are dose-limiting myelosuppression and prolonged lymphopenia with opportunistic infections; neurotoxicity, hepatotoxicity, nephrotoxicity, and embryo-fetal toxicity are less common but important examples. Adverse effects include neutropenia, anemia, thrombocytopenia, fever, rash, headache, nausea, and herpes zoster. Clinically, cladribine is used in hairy cell leukemia and other lymphoid malignancies, and orally in relapsing multiple sclerosis to produce selective immune reconstitution."
79,DB00243,Ranolazine,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,"Ranolazine (DrugBank DB00243) is a piperazine-derived antianginal agent built around a substituted anisole/aryl ether linked through a short hydroxypropyl chain to a basic piperazine nucleus, giving an amphiphilic structure with one aromatic methoxy-containing ring and a tertiary diamine motif; chemically it is classified as a small-molecule anti-ischemic cardiovascular drug and more specifically an aryl ether–piperazine derivative, with a phenoxypropanolamine-like scaffold related in broad medicinal-chemistry terms to other basic lipophilic antianginal or ion-channel–active agents, though it is not a nitrate or beta-blocker, and drugs sometimes considered pharmacologically similar or comparator antianginals include trimetazidine, ivabradine, amlodipine, metoprolol, and nitroglycerin. Its principal molecular target is the cardiac late inward sodium current, attributed mainly to inhibition of SCN5A/Nav1.5-mediated late INa, with secondary effects on intracellular calcium handling and modest IKr/hERG channel interaction that explains QT prolongation risk. Ranolazine is indicated for chronic stable angina, especially persistent anginal symptoms despite standard therapy, and is used clinically as add-on or second-line treatment to improve exercise tolerance and reduce angina frequency in ischemic heart disease. It is orally administered, well absorbed, extensively distributed, moderately protein bound, metabolized predominantly by CYP3A and to a lesser extent CYP2D6, is a substrate of P-glycoprotein, and is eliminated through both renal excretion of metabolites and fecal routes, with a half-life around 7 hours for extended-release dosing. Toxicity concerns include dose-related dizziness, nausea, constipation, headache, and asthenia, plus clinically important QT interval prolongation, elevated exposure in hepatic impairment, and interactions with strong CYP3A inhibitors or inducers; overdose may accentuate neurologic and cardiovascular adverse effects."
80,DB00244,Mesalazine,NC1=CC(C(O)=O)=C(O)C=C1,"Mesalazine (mesalamine; DrugBank DB00244) is a small aromatic anti-inflammatory agent structurally defined as 5-aminosalicylic acid, consisting of a benzoic acid scaffold bearing adjacent phenolic hydroxyl and carboxylic acid functionalities with an amino substituent on the ring, placing it in the aminosalicylate/5-ASA class and more broadly among salicylic acid derivatives; its core chemical scaffold is the salicylate nucleus, and related or mechanistically similar drugs include sulfasalazine, olsalazine, balsalazide, and to a lesser extent other salicylates such as aspirin. Its activity is largely topical within the intestinal lumen and mucosa rather than systemic, with incompletely absorbed oral drug, formulation-dependent release in the distal small bowel or colon, limited plasma protein binding of absorbed fractions, extensive presystemic and mucosal/hepatic N-acetylation to N-acetyl-5-ASA, and elimination mainly in urine as parent drug and acetylated metabolite, with some fecal excretion of unabsorbed drug. Pharmacologically, mesalazine is associated with inhibition of cyclooxygenase and lipoxygenase pathways, reduced prostaglandin and leukotriene production, scavenging of reactive oxygen species, and modulation of NF-kB/PPAR-gamma-linked inflammatory signaling; reported targets or pathway nodes include PTGS1, PTGS2, ALOX5, PPARG, and NFKB-related signaling. It is indicated primarily for induction and maintenance of remission in ulcerative colitis and for ulcerative proctitis or proctosigmoiditis via oral or rectal use, and is also used in selected inflammatory bowel disease settings. Adverse effects commonly include headache, nausea, abdominal pain, diarrhea, flatulence, and rash, while important toxicities include interstitial nephritis and renal impairment, pancreatitis, hepatitis, paradoxical colitis exacerbation, blood dyscrasias, and rare myocarditis or pericarditis."
81,DB00245,Benzatropine,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,"Benzatropine (benztropine; DrugBank DB00245) is a synthetic tropane-based antimuscarinic whose structure consists of a rigid bicyclic tropane ring bearing a tertiary amine and a benzhydryl ether-like substituent with phenyl aromatic groups, giving a lipophilic, atropine/diphenhydramine-like architecture that supports central nervous system penetration; chemically it is classified as a tertiary amine anticholinergic/antiparkinsonian agent, and its core scaffold is the 8-azabicyclo[3.2.1]octane tropane framework linked to a diarylmethoxy motif. Similar drugs include trihexyphenidyl, biperiden, procyclidine, atropine, scopolamine, and the antihistamine diphenhydramine. Its main targets are muscarinic acetylcholine receptors, especially central M1-class signaling, with reported secondary inhibition of the dopamine transporter SLC6A3 and weaker interactions with histaminergic pathways, helping restore striatal dopamine-acetylcholine balance. After oral or parenteral administration it is reasonably absorbed, widely distributed including into brain, extensively tissue bound, hepatically metabolized, and eliminated slowly through renal and likely biliary routes, producing a relatively prolonged duration of action. It is indicated primarily for idiopathic parkinsonism and drug-induced extrapyramidal symptoms such as acute dystonia, rigidity, tremor, and akathisia, but it is less effective for tardive dyskinesia. Toxicity reflects anticholinergic excess, with examples including confusion, delirium, hallucinations, hyperthermia, tachycardia, urinary retention, constipation, ileus, and angle-closure glaucoma precipitation; overdose may cause severe CNS toxicity. Common adverse effects include dry mouth, blurred vision, sedation, cognitive impairment, and decreased sweating. Clinically, it is used as adjunctive symptomatic therapy in Parkinson disease and for prevention or treatment of antipsychotic-induced extrapyramidal reactions."
82,DB00246,Ziprasidone,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,"Ziprasidone (DrugBank DB00246) is an atypical antipsychotic of the benzisothiazolyl-piperazine class, structurally characterized by a fused benzisothiazole heteroaromatic ring linked through a piperazine moiety to an indolin-2-one-like cyclic lactam scaffold, a combination that defines its tricyclic-like heteroaryl antipsychotic chemotype and distinguishes it from simpler phenothiazine or butyrophenone agents. Its core scaffold is most closely related to other serotonin-dopamine antagonists, with similar drugs including lurasidone, risperidone, paliperidone, quetiapine, olanzapine, and aripiprazole by therapeutic class, and particularly lurasidone by heteroaryl-piperazine design. Pharmacokinetically, ziprasidone is orally absorbed with substantially increased bioavailability when taken with food, is highly protein bound, distributes widely, undergoes extensive hepatic metabolism primarily via aldehyde oxidase and to a lesser extent CYP3A4, forms inactive or weakly active metabolites, and is eliminated through both fecal and renal routes with a terminal half-life of roughly 7 hours. Its principal targets include dopamine D2, serotonin 5-HT2A, 5-HT1A, and 5-HT2C receptors, with additional affinity for 5-HT1D and moderate interaction with histamine H1 and alpha1-adrenergic receptors, supporting antipsychotic and mood-stabilizing effects. It is indicated for schizophrenia and bipolar disorder, including acute manic or mixed episodes and maintenance use adjunctively in some settings. Important toxicities include QT interval prolongation, torsades de pointes risk, neuroleptic malignant syndrome, tardive dyskinesia, somnolence, extrapyramidal symptoms, dizziness, akathisia, nausea, and orthostatic hypotension, while clinically it is used when a relatively weight-sparing second-generation antipsychotic is desired for hallucinations, delusions, agitation, or bipolar mania."
83,DB00248,Cabergoline,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,"Cabergoline (DrugBank DB00248) is a long-acting semisynthetic ergot derivative with an ergoline tetracyclic indole-based core derived from lysergic acid and bearing a substituted urea/carboxamide side chain that increases lipophilicity and prolonged receptor binding; chemically it is classified as an ergot alkaloid, dopaminergic agonist, and prolactin-inhibiting agent, with the ergoline scaffold as its defining pharmacophore. It is structurally and pharmacologically similar to other dopamine agonists, especially bromocriptine, pergolide, lisuride, and to a lesser extent non-ergot agents such as pramipexole and ropinirole. Its principal targets are dopamine D2 receptor isoforms, with additional activity at D3 and variable affinity for D4, 5-HT2B, and alpha-adrenergic receptors, explaining both efficacy and some toxicities. Cabergoline is well absorbed orally, reaches peak concentrations within hours, is highly distributed into tissues, is extensively metabolized mainly by hydrolysis of the acylurea moiety to less active metabolites with limited CYP dependence, and is eliminated slowly, chiefly via biliary/fecal routes with lesser renal excretion; its terminal half-life is prolonged, supporting once- or twice-weekly dosing in hyperprolactinemia. It is indicated for hyperprolactinemic disorders such as prolactinoma, galactorrhea, amenorrhea, infertility, and sometimes acromegaly or Parkinson disease. Adverse effects commonly include nausea, vomiting, constipation, dizziness, orthostatic hypotension, headache, somnolence, and nasal congestion; important toxicities include impulse-control symptoms, hallucinations, psychiatric destabilization, and dose-related valvular heart disease, fibrotic reactions, and rare vasospasm. Clinically, it is used primarily to suppress prolactin, restore gonadal function, shrink pituitary adenomas, and occasionally for refractory endocrine or neurologic indications."
84,DB00249,Idoxuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,"Idoxuridine (DrugBank DB00249) is a halogenated pyrimidine deoxyribonucleoside analog structurally defined as 5-iodo-2′-deoxyuridine, consisting of a uracil-derived base bearing an iodine substituent at the 5-position linked through a beta-N1-glycosidic bond to a 2-deoxyribose sugar; thus, it belongs to the antimetabolite, antiviral nucleoside analog class and has a thymidine/2′-deoxyribonucleoside scaffold closely related to pyrimidine DNA building blocks. Similar drugs include trifluridine, zidovudine, brivudine, and other halogenated or modified pyrimidine nucleosides, especially thymidine and deoxyuridine analogs used as antiviral or antineoplastic antimetabolites. Its principal pharmacologic target is viral DNA synthesis after intracellular phosphorylation by host and infected-cell kinases to mono-, di-, and triphosphate metabolites; these metabolites are incorporated into viral DNA and interfere with replication, particularly in herpes simplex virus, rather than acting through a single unique protein target, although viral DNA polymerase and cellular kinases are functionally relevant targets. Because systemic administration causes marked host toxicity and rapid metabolism, idoxuridine is used topically, with limited ocular absorption, local corneal distribution, intracellular activation, catabolism to iodinated uracil derivatives, and minimal clinically useful systemic exposure; excretion of absorbed drug is mainly renal as metabolites. Toxicity reflects nonselective incorporation into host DNA, with examples including mutagenicity, cytotoxicity, delayed epithelial healing, and bone marrow toxicity if systemic exposure occurs. Clinically, it is indicated mainly for herpetic keratitis, especially dendritic corneal ulcers due to HSV-1, and has also been used topically for cutaneous herpes lesions. Common adverse effects include ocular pain, irritation, lacrimation, photophobia, conjunctival inflammation, punctate keratopathy, eyelid edema, and corneal epithelial toxicity."
