uniprot_id,string_id,id
Q9UGJ0,9606.ENSP00000287878,56
Q9UGI9,9606.ENSP00000397133,57
P11473,,58
P31260,9606.ENSP00000283921,59
P15291,9606.ENSP00000369055,60
P54802,9606.ENSP00000225927,61
P51606,9606.ENSP00000377303,62
Q9H3S4,9606.ENSP00000353165,63
Q9Y698,9606.ENSP00000300105,64
Q9UF02,9606.ENSP00000436836,65
Q9BXT2,9606.ENSP00000252729,66
P54289,9606.ENSP00000349320,67
Q9NY47,9606.ENSP00000418081,68
Q8IZS8,9606.ENSP00000419101,69
Q13936,9606.ENSP00000266376,70
Q01668,9606.ENSP00000288139,71
O60840,9606.ENSP00000365441,72
Q13698,9606.ENSP00000355192,73
O00305,9606.ENSP00000438949,74
Q00975,9606.ENSP00000360423,75
O00555,9606.ENSP00000489829,76
Q15878,9606.ENSP00000356545,77
O43497,9606.ENSP00000352011,78
O95180,9606.ENSP00000334198,79
Q9P0X4,9606.ENSP00000385019,80
P14207,9606.ENSP00000298223,81
P15328,9606.ENSP00000377284,82
P35354,9606.ENSP00000356438,83
P23219,9606.ENSP00000354612,84
P37231,9606.ENSP00000287820,85
Q03181,9606.ENSP00000310928,86
O60427,9606.ENSP00000322229,87
O60488,9606.ENSP00000339787,88
O14842,9606.ENSP00000246553,89
P32418,9606.ENSP00000384763,90
Q8NER1,9606.ENSP00000459962,91
Q07869,9606.ENSP00000385523,92
Q9BYV1,9606.ENSP00000231420,93
P80404,9606.ENSP00000379845,94
P49588,9606.ENSP00000261772,95
P21549,9606.ENSP00000302620,96
Q16719,9606.ENSP00000264170,97
P43007,9606.ENSP00000234256,98
Q7Z2H8,9606.ENSP00000243389,99
P24298,9606.ENSP00000378408,100
Q9UHI5,9606.ENSP00000320378,101
Q8TD30,9606.ENSP00000345282,102
Q5JTZ9,9606.ENSP00000244571,103
O94788,9606.ENSP00000249750,104
P00352,9606.ENSP00000297785,105
Q92781,9606.ENSP00000257895,106
P47895,9606.ENSP00000332256,107
Q96NR8,9606.ENSP00000449079,108
O95237,9606.ENSP00000337224,109
O75911,9606.ENSP00000480439,110
Q8TC12,9606.ENSP00000370750,111
P05090,9606.ENSP00000345179,112
P41222,9606.ENSP00000360687,113
P09917,9606.ENSP00000363512,114
O76054,9606.ENSP00000478755,115
Q9UDX4,9606.ENSP00000215812,116
P05771,9606.ENSP00000496129,117
O75469,9606.ENSP00000336528,118
P17252,9606.ENSP00000408695,119
P23743,9606.ENSP00000377703,120
P67775,9606.ENSP00000418447,121
O00764,9606.ENSP00000291565,122
P41252,9606.ENSP00000364794,123
P54687,9606.ENSP00000443459,124
P45954,9606.ENSP00000357873,125
O15382,9606.ENSP00000322991,126
Q9NSE4,9606.ENSP00000355889,127
P04035,9606.ENSP00000287936,128
Q92769,9606.ENSP00000430432,129
P31645,9606.ENSP00000261707,130
Q12809,9606.ENSP00000262186,131
P30556,9606.ENSP00000398832,132
P12821,9606.ENSP00000290866,133
P46663,9606.ENSP00000216629,134
P04278,9606.ENSP00000369816,135
P04150,9606.ENSP00000231509,136
Q9UBS5,9606.ENSP00000366233,137
O75899,9606.ENSP00000259455,138
Q05940,9606.ENSP00000496339,139
Q01959,9606.ENSP00000270349,140
Q16568,9606.ENSP00000296777,141
Q96RJ0,9606.ENSP00000275216,142
P23975,9606.ENSP00000219833,143
P35348,9606.ENSP00000369960,144
P35368,9606.ENSP00000306662,145
P25100,9606.ENSP00000368766,146
P08913,9606.ENSP00000280155,147
P18089,9606.ENSP00000480573,148
P08588,9606.ENSP00000358301,149
P07550,9606.ENSP00000305372,150
P13945,9606.ENSP00000343782,151
P14416,9606.ENSP00000354859,152
P27338,9606.ENSP00000367309,153
P21397,9606.ENSP00000340684,154
P14867,9606.ENSP00000393097,155
P47869,9606.ENSP00000427603,156
P34903,9606.ENSP00000359337,157
P48169,9606.ENSP00000264318,158
P31644,9606.ENSP00000382953,159
Q16445,9606.ENSP00000274545,160
P18505,9606.ENSP00000295454,161
P47870,9606.ENSP00000274547,162
P28472,9606.ENSP00000308725,163
O14764,9606.ENSP00000367848,164
P18507,9606.ENSP00000410732,165
Q99928,9606.ENSP00000479113,166
Q9UN88,9606.ENSP00000469332,167
P28074,9606.ENSP00000355325,168
P20618,9606.ENSP00000262193,169
P20711,9606.ENSP00000403644,170
P01303,9606.ENSP00000384364,171
P35372,9606.ENSP00000394624,172
P28335,9606.ENSP00000276198,173
P41145,,174
P41143,9606.ENSP00000234961,175
P20309,9606.ENSP00000255380,176
P11229,9606.ENSP00000306490,177
P25103,9606.ENSP00000303522,178
Q99250,9606.ENSP00000490107,179
Q05586,9606.ENSP00000360608,180
Q12879,9606.ENSP00000332549,181
Q13224,9606.ENSP00000477455,182
Q14957,9606.ENSP00000293190,183
O15399,9606.ENSP00000263269,184
O60391,9606.ENSP00000234389,185
P30542,9606.ENSP00000356205,186
Q9BXJ7,9606.ENSP00000299155,187
O60494,9606.ENSP00000367064,188
P21817,9606.ENSP00000352608,189
P29274,9606.ENSP00000480012,190
P54750,9606.ENSP00000410309,191
Q01064,9606.ENSP00000243052,192
Q14123,9606.ENSP00000379496,193
Q9Y233,9606.ENSP00000355847,194
P27815,9606.ENSP00000370078,195
Q08493,9606.ENSP00000347689,196
Q9NP56,9606.ENSP00000310661,197
O00408,9606.ENSP00000334910,198
Q14432,9606.ENSP00000351957,199
Q13370,9606.ENSP00000282096,200
O76074,9606.ENSP00000347046,201
Q9HCR9,9606.ENSP00000286063,202
Q13946,9606.ENSP00000385632,203
O60658,9606.ENSP00000378056,204
O95263,9606.ENSP00000264917,205
O76083,9606.ENSP00000291539,206
P16499,9606.ENSP00000255266,207
P35913,9606.ENSP00000420295,208
P78527,9606.ENSP00000313420,209
O00329,9606.ENSP00000366563,210
P42336,9606.ENSP00000263967,211
P42338,9606.ENSP00000501150,212
Q14643,9606.ENSP00000306253,213
Q14571,9606.ENSP00000370744,214
Q14573,9606.ENSP00000363435,215
Q13315,9606.ENSP00000278616,216
P29275,9606.ENSP00000304501,217
P0DMS8,9606.ENSP00000241356,218
P18545,9606.ENSP00000328412,219
O95069,9606.ENSP00000394033,220
P54219,9606.ENSP00000387549,221
O15392,9606.ENSP00000301633,222
Q9H244,9606.ENSP00000307259,223
P10826,9606.ENSP00000332296,224
P13631,9606.ENSP00000388510,225
P28702,9606.ENSP00000363817,226
P48443,9606.ENSP00000352900,227
P19793,9606.ENSP00000419692,228
P05412,9606.ENSP00000360266,229
O60603,9606.ENSP00000260010,230
P10276,9606.ENSP00000254066,231
P17174,9606.ENSP00000359539,232
P20648,9606.ENSP00000262623,233
O94760,9606.ENSP00000284031,234
Q13621,9606.ENSP00000495332,235
P55011,9606.ENSP00000262461,236
P35367,9606.ENSP00000380247,237
P28221,9606.ENSP00000363748,238
P28222,9606.ENSP00000358963,239
P08908,9606.ENSP00000316244,240
P11388,9606.ENSP00000411532,241
Q14654,9606.ENSP00000345708,242
P48048,9606.ENSP00000376432,243
Q09428,9606.ENSP00000494321,244
P20701,9606.ENSP00000349252,245
P00915,9606.ENSP00000430656,246
P00918,9606.ENSP00000285379,247
P22748,9606.ENSP00000300900,248
P43681,9606.ENSP00000359285,249
P42262,9606.ENSP00000296526,250
Q13002,9606.ENSP00000397026,251
P23921,9606.ENSP00000300738,252
P31350,9606.ENSP00000353770,253
Q7LG56,9606.ENSP00000251810,254
P09884,9606.ENSP00000368358,255
Q07864,9606.ENSP00000322570,256
Q9NRF9,9606.ENSP00000363286,257
Q9NR33,9606.ENSP00000420176,258
P00491,9606.ENSP00000354532,259
O15111,9606.ENSP00000359424,260
O14920,9606.ENSP00000430684,261
P05164,9606.ENSP00000225275,262
P21728,9606.ENSP00000377353,263
P21918,9606.ENSP00000306129,264
P28223,9606.ENSP00000437737,265
P35462,9606.ENSP00000373169,266
P21917,9606.ENSP00000176183,267
P50406,9606.ENSP00000289753,268
P34969,9606.ENSP00000337949,269
P08172,9606.ENSP00000399745,270
P08173,9606.ENSP00000409378,271
P46098,9606.ENSP00000347754,272
O95264,9606.ENSP00000260191,273
P41595,9606.ENSP00000258400,274
Q14524,9606.ENSP00000328968,275
P35498,9606.ENSP00000303540,276
Q07699,9606.ENSP00000396915,277
Q9NY46,9606.ENSP00000283254,278
Q9UQD0,9606.ENSP00000346534,279
P03372,9606.ENSP00000405330,280
P62508,9606.ENSP00000355904,281
Q92731,9606.ENSP00000343925,282
P11474,9606.ENSP00000384851,283
O95718,9606.ENSP00000370270,284
Q15596,9606.ENSP00000399968,285
P10275,9606.ENSP00000363822,286
O15554,9606.ENSP00000496939,287
Q8TDS4,9606.ENSP00000375066,288
P00390,9606.ENSP00000221130,289
Q9Y5Y9,9606.ENSP00000390600,290
Q9UI33,9606.ENSP00000499569,291
P35499,9606.ENSP00000396320,292
Q01118,9606.ENSP00000496114,293
Q15858,9606.ENSP00000386306,294
P39086,9606.ENSP00000327687,295
Q13003,9606.ENSP00000362183,296
Q16099,9606.ENSP00000435648,297
P07451,9606.ENSP00000285381,298
P02763,9606.ENSP00000259396,299
P02768,9606.ENSP00000295897,300
Q8TCT9,9606.ENSP00000381237,301
Q15155,9606.ENSP00000287667,302
P09874,9606.ENSP00000355759,303
Q7Z5B4,9606.ENSP00000308820,304
P00734,9606.ENSP00000308541,305
P10827,9606.ENSP00000264637,306
P10828,9606.ENSP00000379904,307
P12004,9606.ENSP00000368458,308
Q9NZV8,9606.ENSP00000333496,309
Q9UK17,9606.ENSP00000319591,310
P19652,9606.ENSP00000394936,311
P00533,9606.ENSP00000275493,312
P14324,9606.ENSP00000349078,313
O95749,9606.ENSP00000282841,314
P42574,9606.ENSP00000311032,315
P55211,9606.ENSP00000330237,316
O43451,9606.ENSP00000447378,317
P10253,9606.ENSP00000305692,318
P14410,9606.ENSP00000264382,319
P04746,9606.ENSP00000481450,320
P43088,9606.ENSP00000359793,321
P48549,9606.ENSP00000295101,322
P18858,9606.ENSP00000263274,323
P49916,9606.ENSP00000367787,324
Q9Y6Y9,9606.ENSP00000284818,325
P34995,9606.ENSP00000292513,326
P00747,9606.ENSP00000308938,327
P06401,9606.ENSP00000325120,328
Q9H252,9606.ENSP00000463533,329
Q9NS40,9606.ENSP00000331727,330
Q9UKV0,9606.ENSP00000408617,331
Q02218,9606.ENSP00000388183,332
P51649,9606.ENSP00000314649,333
O60939,9606.ENSP00000278947,334
Q9NY72,9606.ENSP00000376523,335
Q8IWT1,9606.ENSP00000322460,336
Q15185,9606.ENSP00000482075,337
P04629,9606.ENSP00000431418,338
Q16620,9606.ENSP00000277120,339
O43526,9606.ENSP00000352035,340
Q09470,9606.ENSP00000371985,341
P25021,9606.ENSP00000366506,342
Q9H3N8,9606.ENSP00000256906,343
Q99720,9606.ENSP00000277010,344
O43525,9606.ENSP00000373648,345
P21964,9606.ENSP00000354511,346
P16066,9606.ENSP00000357669,347
P14555,9606.ENSP00000383364,348
Q8N8N7,9606.ENSP00000452280,349
Q04760,9606.ENSP00000362463,350
Q9Y5Y4,9606.ENSP00000332812,351
P42330,9606.ENSP00000369927,352
Q16134,9606.ENSP00000426638,353
P21695,9606.ENSP00000301149,354
P32297,9606.ENSP00000315602,355
P17787,9606.ENSP00000357461,356
P42345,9606.ENSP00000354558,357
P62942,9606.ENSP00000383003,358
P35869,9606.ENSP00000242057,359
P00797,9606.ENSP00000272190,360
Q12791,9606.ENSP00000286628,361
P11511,9606.ENSP00000379683,362
P05108,9606.ENSP00000268053,363
P07437,9606.ENSP00000339001,364
P09211,9606.ENSP00000381607,365
P09038,9606.ENSP00000264498,366
P01133,9606.ENSP00000265171,367
P02671,9606.ENSP00000498441,368
P02675,9606.ENSP00000306099,369
P02679,9606.ENSP00000336829,370
Q14994,9606.ENSP00000356959,371
P18405,9606.ENSP00000274192,372
P00439,9606.ENSP00000448059,373
P43119,9606.ENSP00000291294,374
Q02880,9606.ENSP00000264331,375
P17405,9606.ENSP00000340409,376
P23141,9606.ENSP00000353720,377
P51168,9606.ENSP00000345751,378
P37088,9606.ENSP00000353292,379
P51172,9606.ENSP00000368411,380
P51170,9606.ENSP00000300061,381
P05023,9606.ENSP00000445306,382
P08235,9606.ENSP00000350815,383
P05093,9606.ENSP00000358903,384
P35916,9606.ENSP00000261937,385
P04049,9606.ENSP00000401888,386
P35968,9606.ENSP00000263923,387
P15056,9606.ENSP00000419060,388
P36888,9606.ENSP00000241453,389
P09619,9606.ENSP00000261799,390
P10721,9606.ENSP00000288135,391
P11362,9606.ENSP00000393312,392
P07949,9606.ENSP00000347942,393
P17948,9606.ENSP00000282397,394
P01008,9606.ENSP00000356671,395
P05546,9606.ENSP00000215727,396
Q16739,9606.ENSP00000363397,397
P31213,9606.ENSP00000477587,398
Q9H8P0,9606.ENSP00000264228,399
P11168,9606.ENSP00000323568,400
O60502,9606.ENSP00000354850,401
P55017,9606.ENSP00000402152,402
P47989,9606.ENSP00000368727,403
P04818,9606.ENSP00000315644,404
P30085,9606.ENSP00000360939,405
P10636,9606.ENSP00000340820,406
P06756,9606.ENSP00000261023,407
P05106,9606.ENSP00000452786,408
O95259,9606.ENSP00000271751,409
P04070,9606.ENSP00000234071,410
P07225,9606.ENSP00000377783,411
P14770,9606.ENSP00000303942,412
P21554,9606.ENSP00000358513,413
P34972,9606.ENSP00000363596,414
Q9Y271,9606.ENSP00000362401,415
Q15822,9606.ENSP00000385026,416
P30926,9606.ENSP00000261751,417
P61024,9606.ENSP00000311083,418
P0DP23,9606.ENSP00000291295,419
Q96SW2,9606.ENSP00000231948,420
O14788,9606.ENSP00000381775,421
P33151,9606.ENSP00000497290,422
P50453,9606.ENSP00000370074,423
P04155,9606.ENSP00000291527,424
O15530,9606.ENSP00000344220,425
Q14697,9606.ENSP00000340466,426
Q99705,9606.ENSP00000249016,427
O00264,9606.ENSP00000217971,428
P04839,9606.ENSP00000367851,429
P13498,9606.ENSP00000261623,430
P14598,9606.ENSP00000289473,431
P19878,9606.ENSP00000356505,432
Q15080,9606.ENSP00000380334,433
P63000,9606.ENSP00000348461,434
P15153,9606.ENSP00000249071,435
P29372,9606.ENSP00000219431,436
P01023,9606.ENSP00000323929,437
P02787,9606.ENSP00000385834,438
O00244,9606.ENSP00000430598,439
P17936,9606.ENSP00000370473,440
Q15238,9606.ENSP00000382334,441
P05091,9606.ENSP00000261733,442
Q14353,9606.ENSP00000403536,443
P07998,9606.ENSP00000381057,444
P78352,9606.ENSP00000497806,445
P68366,9606.ENSP00000248437,446
P51857,9606.ENSP00000242375,447
P14679,9606.ENSP00000263321,448
P07202,9606.ENSP00000329869,449
P00813,9606.ENSP00000361965,450
P02708,9606.ENSP00000261007,451
P42261,9606.ENSP00000428994,452
P24530,9606.ENSP00000366416,453
P25101,9606.ENSP00000315011,454
P00374,9606.ENSP00000396308,455
P31939,9606.ENSP00000236959,456
P00742,9606.ENSP00000364709,457
Q71U36,9606.ENSP00000439020,458
P23258,9606.ENSP00000251413,459
P23415,9606.ENSP00000411593,460
O76082,9606.ENSP00000402760,461
P23786,9606.ENSP00000360541,462
P50416,9606.ENSP00000265641,463
P43155,9606.ENSP00000315013,464
O43772,9606.ENSP00000326305,465
Q9H015,9606.ENSP00000200652,466
P47712,9606.ENSP00000356436,467
P04083,9606.ENSP00000366109,468
P07355,9606.ENSP00000346032,469
P12429,9606.ENSP00000264908,470
P09525,9606.ENSP00000377833,471
P08758,9606.ENSP00000296511,472
P19801,9606.ENSP00000411613,473
Q16515,9606.ENSP00000225823,474
P78348,9606.ENSP00000228468,475
P19634,9606.ENSP00000263980,476
P00749,9606.ENSP00000361850,477
P08183,9606.ENSP00000478255,478
Q13639,9606.ENSP00000353915,479
P15121,9606.ENSP00000285930,480
P27361,9606.ENSP00000263025,481
O60218,9606.ENSP00000352584,482
P01375,9606.ENSP00000398698,483
Q9NR96,9606.ENSP00000353874,484
P09429,9606.ENSP00000345347,485
P09488,9606.ENSP00000311469,486
Q9BYF1,9606.ENSP00000389326,487
P11274,9606.ENSP00000303507,488
P07333,9606.ENSP00000286301,489
P16234,9606.ENSP00000257290,490
Q08345,9606.ENSP00000427552,491
P00519,9606.ENSP00000361423,492
P49019,9606.ENSP00000436714,493
Q15274,9606.ENSP00000378782,494
P40261,9606.ENSP00000441434,495
P29074,9606.ENSP00000263708,496
Q13332,9606.ENSP00000467537,497
P23469,9606.ENSP00000254667,498
P38606,9606.ENSP00000273398,499
P22102,9606.ENSP00000371253,500
P41594,9606.ENSP00000306138,501
Q15125,9606.ENSP00000417052,502
Q05655,9606.ENSP00000331602,503
Q02156,9606.ENSP00000306124,504
P05129,9606.ENSP00000263431,505
P41743,9606.ENSP00000295797,506
Q04759,9606.ENSP00000263125,507
Q05513,9606.ENSP00000367830,508
P45983,9606.ENSP00000378974,509
Q9BQB6,9606.ENSP00000378426,510
P05230,9606.ENSP00000480791,511
P08620,9606.ENSP00000168712,512
Q9HC97,9606.ENSP00000411788,513
Q9Y2I1,9606.ENSP00000418232,514
Q9NS75,9606.ENSP00000282018,515
P21462,9606.ENSP00000471493,516
Q13258,9606.ENSP00000303424,517
P07900,9606.ENSP00000335153,518
Q16558,9606.ENSP00000274629,519
Q86W47,9606.ENSP00000258111,520
Q9H2S1,9606.ENSP00000264773,521
Q9UGI6,9606.ENSP00000481848,522
Q86U10,9606.ENSP00000450040,523
P26358,9606.ENSP00000352516,524
Q9Y6K1,9606.ENSP00000264709,525
Q9NYK1,9606.ENSP00000370034,526
Q9NR97,9606.ENSP00000312082,527
Q8NFJ5,9606.ENSP00000014914,528
P49788,9606.ENSP00000237696,529
P31025,9606.ENSP00000263598,530
Q9NY56,9606.ENSP00000342097,531
P02753,9606.ENSP00000360522,532
Q16654,9606.ENSP00000005178,533
O43174,9606.ENSP00000224356,534
Q9NR63,9606.ENSP00000001146,535
O60760,9606.ENSP00000295256,536
P04156,9606.ENSP00000399376,537
Q9UM07,9606.ENSP00000364597,538
P11387,9606.ENSP00000354522,539
P07101,9606.ENSP00000370571,540
Q9Y5N1,9606.ENSP00000342560,541
P23297,9606.ENSP00000292169,542
P80511,9606.ENSP00000357726,543
P04271,9606.ENSP00000291700,544
Q99584,9606.ENSP00000392767,545
P29034,9606.ENSP00000499289,546
P43116,9606.ENSP00000245457,547
P08514,9606.ENSP00000262407,548
Q16853,9606.ENSP00000312326,549
Q99527,9606.ENSP00000380281,550
P00846,9606.ENSP00000354632,551
Q14457,9606.ENSP00000355231,552
Q6FHJ7,9606.ENSP00000410715,553
Q9UPY5,9606.ENSP00000280612,554
P24752,9606.ENSP00000265838,555
P24557,9606.ENSP00000389414,556
P04054,9606.ENSP00000312286,557
P21589,9606.ENSP00000257770,558
O43570,9606.ENSP00000178638,559
Q9ULX7,9606.ENSP00000358107,560
P43166,9606.ENSP00000345659,561
P29972,9606.ENSP00000311165,562
P63316,9606.ENSP00000232975,563
P26447,9606.ENSP00000357704,564
P07288,9606.ENSP00000314151,565
P29475,9606.ENSP00000477999,566
P01584,9606.ENSP00000263341,567
Q00653,9606.ENSP00000358983,568
P19838,9606.ENSP00000226574,569
P49146,9606.ENSP00000332591,570
P52209,9606.ENSP00000270776,571
O95644,9606.ENSP00000389377,572
P18846,9606.ENSP00000262053,573
P15336,9606.ENSP00000264110,574
P18847,9606.ENSP00000344352,575
P18848,9606.ENSP00000336790,576
Q9Y2D1,9606.ENSP00000396954,577
P18850,9606.ENSP00000356919,578
P17544,9606.ENSP00000399465,579
P01100,9606.ENSP00000306245,580
P60568,9606.ENSP00000226730,581
Q9H2X9,9606.ENSP00000387694,582
P13569,9606.ENSP00000003084,583
P23416,9606.ENSP00000218075,584
P48058,9606.ENSP00000282499,585
P42263,9606.ENSP00000481554,586
P48051,9606.ENSP00000477437,587
P19320,9606.ENSP00000294728,588
Q99808,9606.ENSP00000498610,589
P48544,9606.ENSP00000433295,590
P30532,9606.ENSP00000299565,591
Q05901,9606.ENSP00000289957,592
Q14542,9606.ENSP00000440329,593
P32004,9606.ENSP00000359077,594
Q9UJU2,9606.ENSP00000265165,595
P43115,9606.ENSP00000349003,596
P30531,9606.ENSP00000494136,597
P35218,9606.ENSP00000498065,598
P35219,9606.ENSP00000314407,599
Q16790,9606.ENSP00000367608,600
Q9NS85,9606.ENSP00000405388,601
O75493,9606.ENSP00000084798,602
Q8N1Q1,9606.ENSP00000318912,603
P35408,9606.ENSP00000302846,604
P41146,,605
O00206,9606.ENSP00000363089,606
Q06278,9606.ENSP00000363832,607
Q04828,9606.ENSP00000370254,608
P04637,9606.ENSP00000269305,609
P11021,9606.ENSP00000324173,610
P51812,9606.ENSP00000368884,611
P25963,9606.ENSP00000216797,612
P29466,9606.ENSP00000433138,613
P28482,9606.ENSP00000215832,614
P31152,9606.ENSP00000383234,615
Q16659,9606.ENSP00000261845,616
Q13164,9606.ENSP00000311005,617
P24385,9606.ENSP00000227507,618
P01106,9606.ENSP00000478887,619
Q16873,9606.ENSP00000292596,620
Q9UHC9,9606.ENSP00000289547,621
P35610,9606.ENSP00000356591,622
P15144,9606.ENSP00000300060,623
P53805,9606.ENSP00000370527,624
P06746,9606.ENSP00000265421,625
P00441,9606.ENSP00000270142,626
P30044,9606.ENSP00000265462,627
Q9NR82,9606.ENSP00000345055,628
Q14978,9606.ENSP00000385410,629
P25815,9606.ENSP00000296370,630
P25024,9606.ENSP00000295683,631
P41180,9606.ENSP00000420194,632
O60706,9606.ENSP00000261200,633
O95342,9606.ENSP00000497931,634
O95477,9606.ENSP00000363868,635
Q15842,9606.ENSP00000499300,636
Q8TD43,9606.ENSP00000252826,637
P14780,9606.ENSP00000361405,638
P15692,,639
P99999,9606.ENSP00000307786,640
P53779,,641
Q15759,9606.ENSP00000333685,642
P53778,9606.ENSP00000215659,643
O15264,9606.ENSP00000211287,644
Q16539,9606.ENSP00000229795,645
P45984,9606.ENSP00000394560,646
P08686,9606.ENSP00000496625,647
P00492,9606.ENSP00000298556,648
Q06203,9606.ENSP00000264220,649
P20839,9606.ENSP00000345096,650
Q9NPA2,9606.ENSP00000337816,651
P21802,9606.ENSP00000410294,652
O75311,9606.ENSP00000274093,653
P48167,9606.ENSP00000264428,654
P51788,9606.ENSP00000265593,655
P10415,9606.ENSP00000381185,656
P07204,9606.ENSP00000366307,657
P12104,9606.ENSP00000274024,658
P07359,9606.ENSP00000329380,659
P31151,9606.ENSP00000357711,660
P27986,9606.ENSP00000428056,661
O00459,9606.ENSP00000222254,662
Q92569,9606.ENSP00000262741,663
P48039,9606.ENSP00000302811,664
P49286,9606.ENSP00000257068,665
P11678,9606.ENSP00000225371,666
P27797,9606.ENSP00000320866,667
P46597,9606.ENSP00000370639,668
P16083,9606.ENSP00000369822,669
Q99677,9606.ENSP00000408205,670
P43657,9606.ENSP00000367691,671
P51575,9606.ENSP00000225538,672
Q9UBL9,9606.ENSP00000343339,673
P56373,9606.ENSP00000263314,674
Q99571,9606.ENSP00000353032,675
Q93086,9606.ENSP00000225328,676
O15547,9606.ENSP00000416193,677
Q99572,9606.ENSP00000330696,678
P47900,9606.ENSP00000304767,679
Q96G91,9606.ENSP00000323872,680
Q9BPV8,9606.ENSP00000320376,681
P41231,9606.ENSP00000310305,682
P51582,9606.ENSP00000363643,683
Q86VZ1,9606.ENSP00000370697,684
P16389,9606.ENSP00000487785,685
P22001,9606.ENSP00000358784,686
P22459,9606.ENSP00000328511,687
P22460,9606.ENSP00000252321,688
P17658,9606.ENSP00000280684,689
Q14721,9606.ENSP00000360806,690
P48547,9606.ENSP00000265969,691
Q96PR1,9606.ENSP00000449253,692
Q14003,9606.ENSP00000434241,693
Q03721,9606.ENSP00000358802,694
P15382,9606.ENSP00000382226,695
Q9Y6J6,9606.ENSP00000290310,696
Q9Y6H6,9606.ENSP00000310557,697
Q8WWG9,9606.ENSP00000281830,698
Q9ULD8,9606.ENSP00000257981,699
Q9UQ05,9606.ENSP00000264661,700
Q8NCM2,9606.ENSP00000321427,701
Q96L42,9606.ENSP00000328813,702
P51787,9606.ENSP00000155840,703
P56696,9606.ENSP00000262916,704
Q9BQ31,9606.ENSP00000385968,705
Q8TDN2,9606.ENSP00000371514,706
Q14722,9606.ENSP00000419952,707
Q13303,9606.ENSP00000367323,708
P27707,9606.ENSP00000286648,709
P27487,9606.ENSP00000353731,710
P12235,9606.ENSP00000281456,711
P05141,9606.ENSP00000360671,712
P12236,9606.ENSP00000370808,713
P16233,9606.ENSP00000358223,714
P49327,9606.ENSP00000304592,715
P00750,9606.ENSP00000220809,716
P63252,9606.ENSP00000243457,717
P48050,9606.ENSP00000306497,718
Q86YN6,9606.ENSP00000312649,719
P38435,9606.ENSP00000233838,720
Q05209,9606.ENSP00000248594,721
P29350,9606.ENSP00000391592,722
Q9Y487,9606.ENSP00000332247,723
Q13488,9606.ENSP00000265686,724
Q9HBG4,9606.ENSP00000308122,725
P21281,9606.ENSP00000276390,726
P15313,9606.ENSP00000234396,727
Q8N8Y2,9606.ENSP00000285393,728
P36543,9606.ENSP00000253413,729
O75348,9606.ENSP00000363162,730
O95670,9606.ENSP00000302194,731
Q9UI12,9606.ENSP00000352522,732
P16860,9606.ENSP00000365651,733
P17302,9606.ENSP00000282561,734
P16581,9606.ENSP00000331736,735
Q16665,9606.ENSP00000437955,736
P01137,9606.ENSP00000221930,737
Q16850,9606.ENSP00000003100,738
Q16881,9606.ENSP00000434516,739
P31749,9606.ENSP00000451828,740
P38936,9606.ENSP00000384849,741
Q13547,9606.ENSP00000362649,742
P29590,9606.ENSP00000268058,743
P49888,9606.ENSP00000226444,744
P80365,9606.ENSP00000316786,745
P30049,9606.ENSP00000215375,746
P03886,9606.ENSP00000354687,747
