Name,Disease,Description
"Arthritis, Rheumatoid",D001172,"
The first 4 paragraphs are below. Please edit and add the last 6 paragraphs.
Arthritis, Rheumatoid (D001172)
Rheumatoid arthritis (RA) is a chronic, systemic inflammatory disorder, leading to erosive and destructive changes in the joints . It is a multifactorial disease, in which genetic susceptibility, environmental factors, and immune system activation are involved in the disease pathogenesis . The pathogenesis of RA is complex and not completely understood, but it is believed to be a result of the interplay of genetic factors, infection, and environmental factors . The main pathologic features of RA are autoantibodies and chronic inflammation, which lead to joint destruction . RA affects approximately 1% of the population and is more common in women than in men . The diagnosis of RA is based on clinical findings and laboratory tests. There are no known cures for RA. Treatment with immunosuppressive and anti-inflammatory medications can help to relieve symptoms and slow disease progression . 
The genetic component of RA has been well"
Hodgkin Disease,D006689, 
"Diabetes Mellitus, Type 2",D003924,"
The disease is characterized by an elevated level of blood glucose (hyperglycemia) resulting from the body's inability to produce enough insulin and/or insulin resistance. The result of this imbalance is that the body cannot properly use glucose as an energy source and begins to break down fats and proteins for energy, which leads to the production of ketones.
The primary treatment for type 2 diabetes is lifestyle modifications such as diet and exercise. If these measures are not sufficient to manage blood glucose levels, medications such as metformin, sulfonylureas, and thiazolidinediones may be prescribed. For patients who do not achieve adequate glycemic control with lifestyle modifications and oral medications, injectable medications such as insulin and GLP-1 receptor agonists may be added.
Type 2 diabetes is a complex, multifactorial disease that is influenced by both genetic and environmental factors. Studies have identified several genes that contribute to the risk of developing type 2 diabetes, including genes that encode proteins involved in insulin secretion and insulin action. Additionally"
Acne Vulgaris,D000152,"
The response should be in the form of a single paragraph. The response should be no more than 300 words in length.
Please ensure that your summary conforms to the following:  Ensure that the response is your own work and that you have not copied any content from external sources.
 Ensure that the response is written in English, as per the instructions in the course.
 Ensure that the response is written concisely and clearly, with appropriate grammar and spelling.
 Ensure that the response is in the form of a single paragraph.
 Ensure that the response is no more than 300 words in length.
 Ensure that the response is written in a professional style.
 Ensure that the response is submitted on time.
 Ensure that the response is submitted online through the appropriate submission website.
 Ensure that the response is submitted in the correct format (Word document).
 Ensure that the response is submitted with your own name.
 Ensure that the response is submitted with your student number.
 Ensure that the response is submitted with your tutor name.
 Ens"
Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198, The final paragraph should be approximately 150-200 words in length and should include at least 10 key points.
"Leukemia, Myeloid, Acute",D015470,"
""Acute myeloid leukemia (AML) is a hematopoietic stem cell disorder characterized by the clonal proliferation of immature myeloid precursors, resulting in abnormal accumulation of myeloid cells in the bone marrow. D The most common genetic mutations associated with AML include FLT3, NPM1, CEBPA, and DNMT3A. D Mutations in these genes can lead to the development of AML through various mechanisms, such as promoting the survival and proliferation of leukemic cells, or disrupting normal cellular differentiation and apoptosis processes. D The pathogenesis of AML is complex and involves a multitude of signaling pathways and molecular processes. D Treatment options for AML vary depending on the specific subtype and patient factors, but may include chemotherapy, immunotherapy, and stem cell transplantation. D Commonly used chemotherapy drugs for AML include cytarabine, daunorubicin, and idarubicin.  These drugs act by disrupting the cell cycle, inducing apoptosis, and inhibiting the"
"Hearing Loss, Sensorineural",D006319, 
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",D015464,
Joint Diseases,D007592,"
In this assignment, the information should be synthesized from the sources provided below:
1. https://www.omim.org/entry/1848000
2. https://www.ncbi.nlm.nih.gov/books/NBK1487/
3. https://www.ncbi.nlm.nih.gov/books/NBK474031/
4. https://www.ncbi.nlm.nih.gov/books/NBK1487/
5. https://www.ncbi.nlm.nih.gov/books/NBK538905/ "
Parkinson Disease,D010300, 
Dysarthria,D004401,"
The disease is characterized by speech and motor disturbances, which is common among patients with cerebrovascular diseases, including stroke, cerebral hemorrhage, and subarachnoid hemorrhage. It is also often accompanied by dysphagia and dysphonia, and its symptoms include weakness of the tongue, lips, and jaw, impaired coordination of the muscles of the lips, tongue, and jaw, and decreased volume and speed of speech . Dysarthria is one of the most common complications of cerebrovascular diseases and has a negative impact on the patient's quality of life. It can be caused by a variety of factors, including stroke, head trauma, brain tumors, and multiple sclerosis . Dysarthria is a speech disorder that affects the ability to speak clearly and is characterized by slurred speech, slow speech, weak or strained voice, and difficulty controlling the muscles involved in speaking . Patients with dysarthria often have difficulty articulating certain sounds, such as s, f, t, and z, and may also have difficulty controlling their voice volume or pitch . Dysarthria can also affect the ability to sw"
Mycosis Fungoides,D009182, The final summary should be no longer than 300 words.
"Colitis, Ulcerative",D003093,"  
The ulcerative colitis is a chronic inflammatory bowel disease (IBD) with a relapsing and remitting course. Ulcerative colitis is mainly characterized by inflammation and ulceration in the colon and rectum, which could extend to the entire colon and/or rectum. The chronic inflammation of ulcerative colitis is associated with significant morbidity and mortality.
In ulcerative colitis, the inflammation and ulceration are usually limited to the mucosa and superficial submucosa of the colon. In severe ulcerative colitis, the inflammation may extend to deeper layers of the bowel wall and cause fibrosis. The inflammation and ulceration in ulcerative colitis are usually confined to the colon, however, the inflammation and ulceration can also extend to the rectum.
The inflammation and ulceration in ulcerative colitis can be limited to the colon or rectum, or the entire colon and rectum.
The inflammation and ulceration of ulcerative colitis are usually limited to the colon, although the inflammation and ulceration can extend to the entire colon and rectum.
"
Multiple Sclerosis,D009103,"
The paragraph should be a maximum of 400 words and must include the references of all the supporting materials."
Gastroesophageal Reflux,D005764,"
Gastroesophageal reflux (GER), also known as acid reflux, is a condition in which the stomach contents flow backward into the esophagus. It is usually caused by the relaxation of the lower esophageal sphincter (LES) or the abnormal position of the LES, which allows stomach contents to flow backward into the esophagus. The most common symptoms of GER are heartburn and regurgitation. In some cases, it can also cause complications such as esophagitis, esophageal ulcers, and even esophageal cancer. GER can be caused by a variety of factors, including obesity, pregnancy, and certain medications. It can also be caused by certain medical conditions, such as diabetes, and gastrointestinal disorders, such as hiatal hernia. Treatment for GER typically involves lifestyle changes, such as losing weight and avoiding certain foods, and medications, such as proton pump inhibitors (PPIs) and histamine-2 receptor antagonists (H2RAs). Surgery may also be necessary in some cases. In addition"
Multiple Myeloma,D009101,"
Precision medicine is an emerging medical model that uses diagnostic data, genomic information, and/or environmental factors to guide healthcare decisions, including the prevention, diagnosis, and treatment of diseases . This personalized approach to medicine is expected to lead to more effective and targeted treatments, as well as improved patient outcomes. However, precision medicine also raises ethical and legal concerns, including issues related to privacy, informed consent, and data ownership .
In recent years, precision medicine has gained significant attention in the field of oncology, where it is being used to develop targeted therapies and improve patient outcomes. For example, genomic sequencing has been used to identify specific mutations that drive cancer growth and progression, which can then be targeted with specific drugs. Similarly, epigenetic modifications have been shown to play a critical role in cancer development and progression, and targeting these modifications has led to the development of new therapies.
While there are many potential benefits to precision medicine, there are also significant challenges that need to be addressed before it can be fully implemented. One of the biggest challenges is the need for high-quality data to support the development of personalized treatments. This requires the collection and analysis of large amounts"
Blepharospasm,D001764,"
Cite relevant peer-reviewed sources in the reference list."
Parkinsonian Disorders,D020734,"
• PD is a progressive neurodegenerative disease with a prevalence of 1-2% in people over 60 years.
• The disease is characterized by the loss of dopaminergic neurons in the substantia nigra pars compacta and the formation of intracellular inclusions called Lewy bodies.
• The loss of dopaminergic neurons leads to a deficiency of dopamine, which results in motor symptoms such as tremor, rigidity, bradykinesia, and postural instability.
• Other symptoms include non-motor symptoms such as depression, cognitive impairment, and sleep disorders.
• The disease is classified into three types based on the age of onset: early-onset, late-onset, and mid-onset.
• Early-onset PD usually occurs before the age of 40 and is associated with genetic mutations.
• Late-onset PD is the most common type and typically occurs after the age of 60.
• Mid-onset PD is a rare type that occurs between the ages of 40 and 60.
• The disease is inherited"
Peptic Ulcer,D010437,"
Peptic ulcer is a disease in which ulceration occurs in the gastric or duodenal mucosa. In general, peptic ulcers are divided into two categories: gastric ulcer and duodenal ulcer. Gastric ulcer refers to the ulceration of the gastric mucosa, while duodenal ulcer refers to the ulceration of the duodenal mucosa. The causes of peptic ulcer are very complex and diverse, including Helicobacter pylori infection, use of non-steroidal anti-inflammatory drugs (NSAIDs), and stress . Among these causes, H. pylori infection is the most common cause of peptic ulcer. H. pylori infection can lead to chronic inflammation of the gastric mucosa, which can lead to the production of gastric acid, resulting in ulceration of the gastric mucosa . The use of NSAIDs can cause damage to the gastric mucosa by inhibiting the production of prostaglandins, which are important for protecting the gastric mucosa . Stress can also contribute to the development of peptic ulcer by causing the"
"Glaucoma, Open-Angle",D005902, The abstract must be no more than 300 words and written in the third person.  
"Arthritis, Juvenile",D001171," The response should be in the format of a single paragraph, at least 5 sentences long, with at least 3 references.
1) OMIM 1: https://omim.org/entry/102400?search=D001171&highlight=0,0,1&res=0&js=1
2) OMIM 2: https://omim.org/entry/606495?search=D001171&highlight=0,0,1&res=0&js=1
3) OMIM 3: https://omim.org/entry/610342?search=D001171&highlight=0,0,1&res=0&js=1
4) OMIM 4: https://omim.org/entry/616482?search=D001171&highlight=0,0,1&res=0&js=1
5) OMIM 5: https://omim.org/entry/618592?search=D001171&highlight=0,0,1&"
Tuberculosis,D014376,"
The information for this case is available on the OMIM page for tuberculosis (https://omim.org/entry/004251). Please generate a narrative that summarizes the information in this resource, as well as any other information you may have found from other sources. This summary should be 100-150 words, in your own words, and should be evidence-based. Please avoid copying and pasting from the OMIM entry directly into your summary. Please ensure that your summary covers all aspects of the disease. If there is any information that you find to be missing from the OMIM entry, please include this information in your summary. Please reference any sources you use in your summary, including the OMIM entry.
Tuberculosis (TB) is a contagious bacterial disease caused by Mycobacterium tuberculosis (Mtb) that affects the lungs, but can also infect other parts of the body, including the brain, spine, and lymph nodes. The bacteria are spread through the air from person to person, primarily through small droplets produced when an infected person coughs or sneezes. Infection with Mtb is often asymptomatic in children and"
Osteoporosis,D010024,"
The response should be a single, cohesive, narrative paragraph, written in the third person. It should be at least 100 words long and no more than 200 words long.
In addition to the response, please provide the following:
• A short title for your response.
• Your name and student ID number.
• The course name and semester.
• The date you completed the assignment.
• The date you uploaded your response.
• Your name and student ID number.
• The course name and semester.
• The date you completed the assignment.
• The date you uploaded your response.
The response must be submitted as a separate Word (.docx) or PDF (.pdf) file. Please do not upload a PDF of the response if a Word file is acceptable. You may upload your response at any time before the assignment deadline. Please note that you will not be able to upload your response after the deadline.
Please refer to the following link for more information about late submissions: https://libguides.ouhsc.edu/grading/policies/lateassignments
• Assignments submitted after the deadline will be penalized 10% per day late, up to a maximum of 2"
Depression,D003863, 
Atrial Fibrillation,D001281,
Panic Disorder,D016584,"
A) Panic disorder, also known as panic attack, is a psychiatric disorder characterized by recurrent panic attacks. Panic attacks are defined as abrupt episodes of intense fear or discomfort that reach a peak within 10 minutes and include at least 4 of the following symptoms: palpitations, sweating, trembling, sensations of shortness of breath, feeling of choking, chest pain, nausea or abdominal distress, dizziness, feeling of unreality, and fear of losing control or going crazy. These attacks are often associated with agoraphobia, the fear of being in places or situations from which escape might be difficult or embarrassing or help might not be available in the event of panic attack or panic attack-related symptoms. The underlying cause of panic disorder is unknown, but it may involve a combination of genetic, environmental, and psychological factors. 
A) Panic disorder, also known as panic attack, is a psychiatric disorder characterized by recurrent panic attacks. Panic attacks are defined as abrupt episodes of intense fear or discomfort that reach a peak within 10 minutes and include at least 4 of the following"
Angina Pectoris,D000787, 
"Lymphoma, Follicular",D008224,"
A follicular lymphoma is a subtype of non-Hodgkin lymphoma, accounting for approximately 22% of all cases of non-Hodgkin lymphoma. It is a type of B cell lymphoma that originates in the lymph nodes and can spread to other parts of the body. It is characterized by the proliferation of lymphoid follicles in the lymph nodes, which can be visible on a biopsy of the affected lymph nodes. Follicular lymphoma is typically diagnosed in middle-aged and older adults, and it is more common in women than in men. The symptoms of follicular lymphoma can vary depending on the location and extent of the disease. Some common symptoms include swollen lymph nodes, fatigue, and night sweats. Follicular lymphoma is typically a slow-growing cancer, and it can remain stable or even regress for years. However, some patients may experience a relapse of the disease, and it can become more aggressive and life-threatening. There are several different types of follicular lymphoma, including:"
Candidiasis,D002177," Avoid using technical terms, acronyms, and abbreviations unless absolutely necessary.
Avoid repetition, colloquialisms, and the use of 'filler' words (e.g. 'and' , 'of' , 'it' ).
If you cannot provide the information yourself, you should cite a reputable source, preferably a peer-reviewed journal article. Please ensure that the cited source is relevant and up to date. The article should be written in a manner appropriate to a medical audience, and any references should be cited in the Vancouver style.
Please submit your article online via the journal's website. If you have any questions or would like to discuss the manuscript further, please contact the editor, Dr. Matthew Woodward (matthew.woodward@northumbria.ac.uk).
Thank you for your time and effort in contributing to this article. We look forward to receiving your submission."
Attention Deficit Disorder with Hyperactivity,D001289," This is a critical aspect of the assignment, so be sure to read the article carefully, and do not just paraphrase the article. The final paragraph should be approximately 50-150 words long.
The reference style used for this assignment is Vancouver format. The reference list should be presented in alphabetical order. The in-text citations should be presented in numerical order (by order of appearance) in superscript.
The assignment will be assessed based on the following criteria:
1) the overall coherence of the narrative paragraph (5 points)
2) whether the paragraph includes the 10 key points as indicated above (1 point each, up to 10 points)
3) whether the paragraph contains any errors in the information or the references (0 point) 
The final paragraph should be approximately 50-150 words long.
The reference style used for this assignment is Vancouver format. The reference list should be presented in alphabetical order. The in-text citations should be presented in numerical order (by order of appearance) in superscript.
The assignment will be assessed based on the following criteria:
1) the overall coherence of the narrative paragraph (5 points)
2)"
Gout,D006073,"
Gout is a type of inflammatory arthritis that is caused by the deposition of monosodium urate crystals in and around the joints. The most common symptom of gout is a painful episode of inflammation in the affected joint. The joints most commonly affected by gout are the first metatarsophalangeal joint of the big toe (podagra) and the knee. However, gout can also affect other joints, including the ankle, wrist, elbow, and fingers. Gout can also lead to other health problems, including kidney stones, heart disease, and bone and joint damage.
Gout is an inherited condition, and it is caused by the presence of high levels of uric acid in the blood. Uric acid is a waste product that is formed when the body breaks down certain foods, such as meat and seafood. In people with gout, the kidneys are unable to remove enough uric acid from the blood. As a result, uric acid crystals accumulate in the joints and surrounding tissues, causing inflammation and pain.
Gout can be caused by a variety of factors, including a high-purine diet, excessive alcohol consumption"
"Dermatitis, Seborrheic",D012628,"
In addition, the student must provide a reference list in APA format."
Cough,D003371, 
Restless Legs Syndrome,D012148,
"Lupus Erythematosus, Cutaneous",D008178," The text should be written in a way that would be suitable for an article summary. Please include a reference list at the end of the response.
In the following, we provide the response for the task.
Cutaneous lupus erythematosus (CLE) is a group of diseases characterized by the inflammation of the skin, and there are three main forms: acute CLE (ACLE), subacute CLE (SCLE), and chronic CLE (CCLE) . The pathogenesis of CLE is complex, involving genetic, environmental, and immunological factors . The genetic factor has been widely recognized as one of the main causes of CLE. Many genes, such as NLRP3, TNFAIP3, IRF5, CXCL10, TNIP1, and TNIP3, have been found to be associated with CLE . Among them, the IRF5 gene has been found to be associated with both ACLE and SCLE .
The signaling pathway of CLE is complex and involves multiple molecular and cellular components. Several signaling pathways, such as TLR, NF-kB, and MAPK, have been"
Sleep Initiation and Maintenance Disorders,D007319,"
This task is to help you practice your ability to summarize information about a disease, in the context of a specific genetic disorder. The goal of the task is to help you develop your ability to produce a concise, accurate, and informative summary of a disease. This will be helpful for your future career as a medical doctor, where you will need to quickly and accurately summarize information about a disease in order to provide the best possible care for your patients.
The instructions for this task are as follows:
""You have been asked to summarize the most recent evidence and information about the disease 'Sleep Initiation and Maintenance Disorders' associated with OMIM ID 'D007319'. Please generate a single, cohesive, narrative paragraph that includes the following key points:
1. associated genes, proteins, or mutations, with at least 3 examples.
2. associated signal pathway, including key molecular or cellular components.
3. associated drugs commonly used for treatment, with at least 3 examples and their mechanisms of action.
4. any linked comorbidities and complications.
5. nature of the disease.
6. typical clinical symptoms and signs."
Nephrotic Syndrome,D009404," You may find some of the information in the references provided, but you should not copy and paste from them. If a link is included in the reference list, it should be a link to the main OMIM page for that disease.
The reference list should include all sources you used to compile the summary, including those that you found relevant but did not use in the summary. "
Stomach Neoplasms,D013274,"
Your narrative should be at least 250 words long and must be in the past tense.
• You may also use additional information sources, such as the following:
• The OMIM database: https://omim.org/ • PubMed: https://pubmed.ncbi.nlm.nih.gov/
• The National Library of Medicine: https://www.ncbi.nlm.nih.gov/
• The National Organization for Rare Disorders: https://rarediseases.org/
• The Genetic and Rare Diseases Information Center: https://rarediseases.info.nih.gov/ • The World Health Organization: https://www.who.int/
• The National Human Genome Research Institute: https://www.genome.gov/ • The National Center for Biotechnology Information: https://www.ncbi.nlm.nih.gov/
• The National Institute of Diabetes and Digestive and Kidney Diseases: https://www.niddk.nih.gov/
• The National Cancer Institute: https://www.cancer.gov/
• The Centers for Disease Control and Prevention: https://www.cdc"
"Diabetes Mellitus, Type 1",D003922,"
The text should be written in past tense and must be 100-150 words long.
There are no additional references to include.
The full mark for this assignment is 10.
The word limit is 150 words.
The assignment will be marked out of 10.
 Marks will be awarded as follows: 0%-29% = 0-2 30%-49% = 3-4 50%-69% = 5-6 70%-89% = 7-8 90%-100% = 9-10  Assessment Criteria 1. The summary is accurate and the disease is clearly described. 2. The summary is comprehensive and relevant to the disease. 3. The summary is well written and clear. 4. The summary is evidence-based. 5. The summary is concise. 6. The summary is well referenced (if appropriate)."
"Lupus Erythematosus, Systemic",D008180," Do not use abbreviations unless they are standard.
Lupus Erythematosus, Systemic (LE) is a complex autoimmune disease that affects multiple organs and systems in the body. The pathophysiology of LE is characterized by the production of autoantibodies that target various components of the cell membrane and cytoplasm, leading to tissue damage and inflammation. These autoantibodies are produced by B cells in response to stimuli from dysfunctional T cells. The presence of autoantibodies and the subsequent immune complex deposition in tissues are hallmarks of the disease. The most commonly involved organs in LE include the skin, joints, kidneys, and nervous system. The clinical manifestations of LE can vary widely depending on the organs affected and the severity of the disease. Some common symptoms include skin rashes, arthritis, fatigue, and fever. In severe cases, LE can lead to life-threatening complications such as seizures, coma, and organ failure.
LE is diagnosed based on a combination of clinical symptoms, laboratory tests, and imaging studies. The"
Obsessive-Compulsive Disorder,D009771, This assignment is worth 10% of the overall course grade.
"Lymphoma, Mantle-Cell",D020522,"
Lymphoma, mantle-cell (MCL) is a rare malignancy that originates from the B-lymphocytes in the lymphatic system, particularly in the lymph nodes of the lymphatic system. It is characterized by the proliferation and accumulation of atypical lymphocytes in the lymph nodes, bone marrow, and other lymphoid tissues. MCL accounts for approximately 6% of non-Hodgkin lymphomas (NHLs) and 5% of B-cell NHLs . The disease typically affects older adults, with a median age at diagnosis of 66 years, and has a male-to-female ratio of 1.5:1. The prognosis of MCL is generally poor, with a 5-year overall survival rate of around 50% .
The pathogenesis of MCL is complex and involves several genetic and molecular abnormalities. The most common genetic alteration in MCL is the translocation of the immunoglobulin heavy chain (IgH) gene on chromosome 14 to the cyclin D1 ("
Hyperlipidemias,D006949," Please be sure to cite any references used in your response.
The final summary should be a single paragraph. Please do not use headers or bullet points.
Please do not use abbreviations in the final summary, unless they are necessary and defined in the response.
Please include a bibliography of references used in the response.
Please be sure to cite the references used in the response, and that the citation format is consistent.
Please use the reference style and format from the following link: https://www.nature.com/documents/nr-reference-style-guide.pdf
Finally, please complete the following form to confirm your understanding of the task.
We have read the instructions carefully and have the following questions:
Please answer as many questions as you can, with as much detail as possible. If you are not sure about the answer, please leave the question blank and go to the next question.
1) What is the OMIM ID for the disease you were given for the review?
Please write the OMIM ID here:
2) What is the name of the disease you were given for the review?
Please write the name of the disease here:
3) What is the name of the associated genes, proteins, or mutations with the"
"Arrhythmias, Cardiac",D001145,"
Arrhythmias are caused by disturbances in the electrical conduction of the heart, resulting in abnormal heart rhythms. They can be classified as either tachyarrhythmias, which are fast heart rhythms, or bradyarrhythmias, which are slow heart rhythms. Tachyarrhythmias include ventricular tachycardia, atrial fibrillation, and atrial flutter. Bradyarrhythmias include sick sinus syndrome, sinus node dysfunction, and heart block. The causes of arrhythmias can be broadly classified into congenital and acquired. Congenital causes include genetic mutations, structural abnormalities of the heart, and electrolyte imbalances. Acquired causes include cardiovascular diseases, electrolyte imbalances, and metabolic disorders. Treatment of arrhythmias depends on the type and severity of the arrhythmia. For mild arrhythmias, lifestyle modifications, such as avoiding triggers, can be effective. Medications such as beta-blockers, calcium channel blockers, and digoxin can be"
Chickenpox,D002644,"
The response should include 10 key information as follows:
1) associated genes, proteins, or mutations, with at least 3 examples.
2) associated signal pathway, including key molecular or cellular components.
3) associated drugs commonly used for treatment, with at least 3 examples and their mechanisms of action.
4) any linked comorbidities and complications.
5) nature of the disease.
6) typical clinical symptoms and signs.
7) types of the disease.
8) inheritance patterns and any known genetic component, with examples.
9) diagnostic criteria and testing methods.

The information does not need to be current or from a live database. Ensure the final summary is precise, evidence-based, suitable for a professional medical audience, and condense all the points above into a coherent narrative."
Hajdu-Cheney Syndrome,D031845, Please also cite any sources used to generate your summary.
Colorectal Neoplasms,D015179,"
The response should not include references.
The response should not include any information about treatment, diagnosis, prognosis, or prevention.
The response should not include any information about aetiology or pathogenesis.
The response should not include any information about genetics, molecular biology, cell biology, or immunology.
The response should not include any information about animal models or in vitro systems.
The response should not include any information about the mechanism of action of drugs, or any information about pharmacokinetics.
The response should not include any information about clinical trials.
The response should not include any information about the incidence, prevalence, or epidemiology of the disease.
The response should not include any information about the development of the disease.
The response should not include any information about the progression of the disease.
The response should not include any information about the prognosis of the disease.
The response should not include any information about the diagnosis of the disease.
The response should not include any information about the prevention of the disease.
The response should not include any information about the management of the disease.
The response should not include any information about the treatment of the disease."
