Name,Drug,Description
Bacitracin,DB01181,"
Generate a single, comprehensive paragraph for the drug 'Bacitracin' associated with its DrugBank ID 'DB01181'. The response should include 10 key pieces of information as follows: 1) detailed description of its chemical structure; 2) its chemical category; 3) its chemical scaffold; 4) any known similar drugs, with examples; 5) detailed description of its pharmacokinetics, including absorption, distribution, metabolism, and excretion; 6) details of its toxicity, with examples; 7) list of any known target proteins; 8) indication of this drug, with specific examples of diseases or symptoms; 9) side effects of this drug, with examples; 10) clinical usage of this drug, with examples.
The antibiotic bacitracin is a mixture of related polycyclic polypeptide antibiotics produced by certain strains of Bacillus subtilis. The antibiotic bacitracin is a mixture of related polycyclic polypeptide antibiotics produced by certain strains of Bacillus subtilis. It inhibits bacterial cell wall synthesis by binding to the ribosome and preventing the incorporation of isoleucine, valine, leucine, and methionine. It is used for the treatment of in"
Penicillin G,DB00987," The response should be written in the style of a textbook, in a formal and detailed manner.
Penicillin G, also known as benzylpenicillin, benzylpenicillin sodium, or benzylpenicilloic acid, is a semi-synthetic penicillin antibiotic derived from the fungus Penicillium notatum. It is a natural product of a β-lactam ring containing a carboxylic acid functional group at the C-3 position, and is available in a variety of salts such as sodium, potassium, magnesium, and calcium. Penicillin G is a broad-spectrum antibiotic that inhibits bacterial cell wall synthesis by binding to penicillin-binding proteins (PBPs) . It is indicated for the treatment of a wide range of bacterial infections, including pneumonia, meningitis, endocarditis, and syphilis, as well as bacterial infections associated with burns, trauma, surgery, and other medical conditions . However, it can also cause adverse effects, such as allergic reactions, rashes, diarrhea, and nausea . Penicillin G has been in clinical use since the 1940s and is one of the most widely used antibiotics globally."
Carbamazepine,DB00563,"
Carbamazepine is a carbon-based drug with a chemical formula of C 15 H 12 N 2 O. It belongs to the class of carbamic acid derivatives. It is a white powder and is insoluble in water. It is a drug that is used to treat epilepsy and to prevent seizures. It is also used to treat trigeminal neuralgia and bipolar disorder. It is known to produce side effects such as drowsiness, dizziness, ataxia, headache, blurred vision, nausea, vomiting, abdominal pain, and diarrhea. It is also known to produce allergic reactions such as rash, pruritus, and fever. It is metabolized by the liver and excreted by the kidneys. Carbamazepine is a drug that is commonly used to treat epilepsy and to prevent seizures. It is also used to treat trigeminal neuralgia and bipolar disorder. It is known to produce side effects such as drowsiness, dizziness, ataxia, headache, blurred vision, nausea, vomiting, abdominal pain, and diarrhea. It is also known to produce allergic reactions such as rash, pruritus, and fever. Carbamazepine is metabolized"
Nitroglycerin,DB00993,"
Nitroglycerin, also known as nitro-glycerin, is a pharmaceutical drug used for the treatment of angina pectoris. It is commonly available in the form of an orally disintegrating tablet and sublingual tablet. Nitroglycerin is a colorless liquid with a mild sweet taste and a strong pungent odor. It is highly volatile, and rapidly evaporates when exposed to air. The drug is sparingly soluble in water, but freely soluble in ethanol, methanol, ether, and chloroform. Nitroglycerin is a member of the class of organic nitrates, which are used in the treatment of angina pectoris and other cardiovascular diseases.
Nitroglycerin is a nitric oxide donor. It is metabolized in the liver and converted into nitric oxide, which relaxes smooth muscles, dilates blood vessels, and increases blood flow to the heart. This helps to reduce the symptoms of angina pectoris and other cardiovascular diseases.
Nitroglycerin is a derivative of glycerol, which is a naturally occurring compound found in many plants and animals. The drug is synthesized by the reaction of glycerol with nitric acid. This reaction produces a mixture of nitrogly"
Fluoxetine,DB00544,"
"
Aspirin,DB00945," The response should be written in a scientifically accurate manner, without any errors or mistakes.
"
Chloramphenicol,DB00446," This response should be written as if for a layperson and should not contain any technical jargon.
Chloramphenicol is a broad-spectrum antibiotic that is effective against many bacterial infections. It is an antibiotic that is used to treat a variety of bacterial infections, including bacterial meningitis, endocarditis, and bacterial pneumonia. It is also used to prevent infections in people who are at risk of developing them, such as those undergoing surgery or who have weakened immune systems. Chloramphenicol works by preventing the growth of bacteria by inhibiting the production of proteins that are essential for bacterial growth and survival. It does this by binding to a specific site on the bacterial ribosome, which is an essential component of the bacterial protein synthesis machinery. By blocking this site, chloramphenicol prevents the production of proteins that are necessary for bacterial growth and survival, ultimately leading to the death of the bacteria.
Chloramphenicol is a broad-spectrum antibiotic that is effective against many bacterial infections. It is an antibiotic that is used to treat a variety of bacterial infections, including bacterial meningitis, endocarditis, and bacterial pneumonia. It is also used to prevent in"
Phenobarbital,DB00309,"
The drug Phenobarbital, also known as phenobarbitone, is a barbiturate derivative used as a sedative and anticonvulsant. It has a chemical scaffold of a barbituric acid derivative, with a structure shown in  below. Phenobarbital is similar to other barbiturates in its mechanism of action, which is inhibition of the activity of voltage-dependent sodium channels, as well as GABA-gated chloride channels. The pharmacokinetics of phenobarbital include absorption, distribution, metabolism, and excretion. Phenobarbital is well absorbed from the gastrointestinal tract, and is distributed widely throughout the body, with a 15% to 30% hepatic extraction ratio. Phenobarbital is metabolized in the liver by cytochrome P450 isoforms CYP2C9, CYP2C19, and CYP3A4, and excreted in the urine and feces. Phenobarbital is known for its low toxicity, which can include drowsiness, sedation, nystagmus, nystagmus, and hypotonia. Phenobarbital is indicated for the treatment of generalized tonic-clonic, and partial seizures, as well as for the prevention and treatment of seiz"
Dantrolene,DB00997," In addition to these items, a paragraph can also contain any other important information about this drug.The drug dantrolene (DrugBank ID: DB00997) is a synthetic compound derived from the naturally occurring antibiotic pantothenic acid. It is the only FDA-approved drug for the treatment of malignant hyperthermia (MH) and is often used to treat hypermetabolic states such as heatstroke and neuroleptic malignant syndrome. Dantrolene is a muscle relaxant that works by inhibiting the release of calcium from the sarcoplasmic reticulum, which is the primary source of calcium in skeletal muscle. The drug is available in oral and intravenous formulations, and its absorption is rapid and dose-dependent. It has a half-life of approximately 4 hours and is metabolized in the liver. The major metabolic pathway involves conjugation with glucuronic acid, and the resulting conjugate is excreted in the urine. Dantrolene has been shown to have a narrow therapeutic index, and it can be toxic in high doses. The most common side effects of dantrolene include nausea, vomiting, diarrhea, and headache. Rare but serious side effects include cardiac arrest and anaphylaxis. Dantrolene"
Naltrexone,DB01042,"
Naltrexone is a drug used to treat alcoholism and opioid dependence. It works by blocking the effects of opioids and alcohol in the brain. It is available in oral and injectable forms. It is a competitive antagonist of opioid receptors. It has no effect on dopamine receptors. It is a weak antagonist of the κ-opioid receptor. It is a mixed antagonist of the µ-opioid receptor. It has no effect on serotonin receptors. It is a competitive antagonist of δ-opioid receptors. It is a weak antagonist of the σ-opioid receptor. It has no effect on GABA receptors. It is a competitive antagonist of the α2-adrenergic receptor. It is a competitive antagonist of the κopioid receptor. It is a competitive antagonist of the µ-opioid receptor. It is a competitive antagonist of the δ-opioid receptor. It is a competitive antagonist of the σ-opioid receptor. It is a competitive antagonist of the α2-adrenergic receptor. It is a competitive antagonist of the κ-opioid receptor. It is a competitive ant"
Dabigatran,DB01229,"
Dabigatran is a prodrug that is metabolized to dabigatran etexilate, a potent, selective, reversible, competitive direct thrombin inhibitor with activity against free and clot-bound thrombin. Dabigatran etexilate does not bind to fibrin, platelets, and plasma proteins, including antithrombin. Dabigatran etexilate is indicated for the prevention of stroke and systemic embolism in patients with non-valvular atrial fibrillation. The absorption of oral dabigatran etexilate is rapid and complete. Peak plasma concentrations occur 2 to 4 hours after dosing. The bioavailability of dabigatran etexilate is not affected by food. Dabigatran etexilate is excreted by the kidney. The pharmacokinetics of dabigatran etexilate are linear over a dose range of 1.1 to 325 mg, with no significant accumulation in plasma after multiple doses. A dose-dependent prolongation of prothrombin time (PT) and activated partial thromboplastin time (aPTT) was observed in patients receiving dabigatran etexilate. A dose-dependent increase in the incidence of hemorrh"
Dantrolene,DB00199,"
Dantrolene (DB00199) is a synthetic, non-specific muscle relaxant drug that belongs to the class of dithiocarbamates. It is used to treat malignant hyperthermia, a life-threatening muscle disease caused by a reaction to general anesthesia. Dantrolene acts by inhibiting the release of calcium from the sarcoplasmic reticulum, which reduces the amount of calcium available for muscle contraction. The drug is administered intravenously or intramuscularly and has a short half-life, with peak plasma levels reached within 30 minutes of administration. Dantrolene is generally well-tolerated, with common side effects including nausea, vomiting, and diarrhea. However, it can cause liver toxicity and should be used with caution in patients with liver disease. Dantrolene is a specific inhibitor of ryanodine receptors, which are located on the sarcoplasmic reticulum and are responsible for the release of calcium ions into the cytosol during muscle contraction. By inhibiting the release of calcium, dantrolene reduces the amount of calcium available for muscle contraction and can help to relax muscles in patients with malignant hyperthermia. Dantrolene is also used off-label to"
Diazepam,DB00305," Please note that some of these pieces of information may not be available in the DrugBank database, in which case please note this in the response.
"
Cilostazol,DB13832,"
• Drug Name: Cilostazol • DrugBank ID: DB13832 • Chemical structure:
Cilostazol (Cilostazol, 2-[2-[[2-(2-oxo-1H-imidazol-1-yl) ethyl] amino] ethyl]-4-fluorobenzamide) is an imidazole-substituted phenylacetamide derivative. It is the active form of its prodrug Pilsicainide (Pilsicainide, 2-[2-[[2-(2-oxo-1H-imidazol-1-yl) ethyl] amino] ethyl]-4-fluorobenzamide). Cilostazol is a phosphodiesterase 3 (PDE3) inhibitor. PDE3 is the major cAMP-degrading enzyme in vascular smooth muscle cells. Cilostazol is used in the treatment of intermittent claudication and prevention of restenosis after percutaneous transluminal coronary angioplasty. Cilostazol is a type III antiplatelet agent, which is a phosphodiesterase inhibitor and a phosphodiesterase 3B (PDE3B) inhibitor. It has antiplatelet, vasodilatory, and ant"
Dipyridamole,DB00627,"
1) The chemical structure of dipyridamole is shown below. Dipyridamole is a member of the pyridine compound class.
2) The chemical category of dipyridamole is 'Drugs'.
3) The chemical scaffold of dipyridamole is 'Pyridine'.
4) Drugs similar to dipyridamole include 'Amitriptyline' (DB00536) and 'Nortriptyline' (DB00603). 5) Dipyridamole is rapidly absorbed following oral administration, with peak plasma concentration occurring within 1 to 3 hours after dosing. It is widely distributed in tissues and body fluids, including blood, muscle, brain, lung, spleen, kidney, heart, and intestine. Dipyridamole is extensively metabolized by the liver. The major metabolic pathway of dipyridamole is the conjugation of the drug with glucuronic acid or sulfuric acid. The metabolites are excreted in urine and bile. 6) Dipyridamole is generally well tolerated. The most common adverse reactions are headache, flushing, nausea, vomiting, abdominal pain, diarrhea, and cardiovascular reactions. These side effects are usually transient"
Furosemide,DB00091," This paragraph should be formatted for readability, with all sentences starting with a capital letter.
Furosemide, also known as Lasix, is a loop diuretic drug which is used to treat edema and hypertension . It is a white crystalline powder with the molecular formula C 22 H 26 O 5 and a molecular weight of 362.46 g/mol . It is soluble in water and ethanol, but insoluble in chloroform, ether, and benzene . The structure of furosemide is shown in . It is a prodrug that is rapidly hydrolyzed in the liver to produce the active form, furosemide 2-sulphate, which is a potent inhibitor of Na-K-Cl cotransport in the thick ascending limb of Henle's loop . Furosemide is one of the most commonly prescribed drugs worldwide and is the first-line treatment for edema and hypertension .
Due to its extensive use, there are several similar drugs available on the market. The most common are bumetanide and torsemide, which are also loop diuretics . Other similar drugs include ethacrynic acid, which is also a loop diuretic, and tolvaptan, which is a vasopressin V2-re"
Clopidogrel,DB01073,"
Clopidogrel (Bristol-Myers Squibb Pharmaceuticals, Princeton, NJ, USA) is an orally active antiplatelet agent that is used to prevent thrombosis and inhibit myocardial infarction (MI) and stroke. This drug belongs to the thienopyridine class of compounds and is used as a prodrug, which is activated by hepatic cytochrome P450 (CYP) enzymes to generate an active thiol metabolite. This active metabolite binds irreversibly to the platelet P2Y 12 receptor, thereby preventing platelet aggregation. Clopidogrel is available in a number of oral formulations, including a tablet, chewable tablet, and oral solution. It is commonly used to prevent atherothrombotic events and is often used in combination with aspirin.
Clopidogrel is a prodrug that is metabolized by cytochrome P450 enzymes to its active metabolite. This metabolite binds irreversibly to the platelet P2Y 12 receptor, thereby preventing platelet aggregation. Clopidogrel is a prodrug that is metabolized by cytochrome P450 enzymes to its active metabolite. This metabolite binds irreversibly"
Amiodarone,DB00681,"
Amiodarone is an antiarrhythmic drug that is used to treat various types of life-threatening cardiac arrhythmias. It belongs to a class of drugs known as class III antiarrhythmics, which inhibit potassium channels and prolong the action potential duration, thereby increasing the refractory period of the myocardium and reducing the rate of cardiac depolarization and repolarization. Amiodarone is a highly lipophilic drug that is metabolized by the cytochrome P450 system, predominantly by CYP3A4. It has a long half-life of approximately 30 days, and it is excreted primarily through the feces, with only small amounts being excreted through the urine. Amiodarone is a highly toxic drug, and it can cause a variety of adverse effects, including pulmonary toxicity, hepatotoxicity, and thyroid dysfunction. Amiodarone is used to treat various types of life-threatening cardiac arrhythmias, including ventricular tachycardia, atrial fibrillation, and ventricular fibrillation. It is often used as a last resort in patients who have failed to respond to other antiarrhythmic drugs. Amiodarone is a class III antiarrhythmic drug that is used to treat various"
Ticagrelor,DB01068,"
Ticagrelor is a direct-acting, reversible, and orally administered P2Y12 adenosine diphosphate (ADP) receptor inhibitor that prevents the binding of ADP to the platelet P2Y12 receptor. 1-3 Ticagrelor is a synthetic, orally active, reversible, direct-acting, and non-thienopyridine P2Y12 inhibitor. 4,5 Ticagrelor is a direct-acting, reversible, and orally administered P2Y12 adenosine diphosphate (ADP) receptor inhibitor that prevents the binding of ADP to the platelet P2Y12 receptor. 1-3 Ticagrelor is a synthetic, orally active, reversible, direct-acting, and non-thienopyridine P2Y12 inhibitor. 4,5 Ticagrelor is a direct-acting, reversible, and orally administered P2Y12 adenosine diphosphate (ADP) receptor inhibitor that prevents the binding of ADP to the platelet P2Y12 receptor. 1-3 Ticagrelor is a synthetic, orally active, reversible, direct-acting, and non-thienopyridine"
Nitroglycerin,DB00575," These 10 pieces of information are the minimum required for this task.
For the task, we will provide a series of questions that will test the user's knowledge and understanding of the drug. The user will be asked to answer the questions as accurately as possible, and will receive feedback on their performance. The questions will cover a range of topics related to the drug, including its chemical structure, pharmacology, toxicity, and clinical usage. The user will be able to review their answers, and will be given the opportunity to revise their responses based on their performance.
The user will be asked to provide feedback on the usefulness and accuracy of the drug information provided by DrugBank. The user will be asked to rate the information on a scale from 1 to 5, with 1 being the least useful or accurate and 5 being the most useful or accurate. The user will also be given the opportunity to provide any additional comments or feedback.
The user will be asked to provide feedback on the ease of use and navigation of the DrugBank website. The user will be asked to rate the website on a scale from 1 to 5, with 1 being the most difficult to use and 5 being the easiest to use. The user will also be given the opportunity to provide any additional comments or feedback.
The user will be asked to provide feedback on the overall quality of the DrugBank website. The user will be asked to rate the website on a scale from "
Buspirone,DB00788,"
DrugBank ID DB00788, buspirone, is a white crystalline powder with a melting point of 235°C. It is freely soluble in ethanol, methanol, and water and slightly soluble in acetone and chloroform . It is a piperazine derivative and is the first compound in a new class of anxiolytic agents called anxiolytics. Buspirone was synthesized by Yamanouchi Pharmaceutical Company in 1973 and introduced into the USA in 1986. It is approved by the US Food and Drug Administration for the treatment of generalized anxiety disorder, posttraumatic stress disorder, and social anxiety disorder. It was first approved for the treatment of anxiety in 1986 . Buspirone is not an agonist at the GABA A receptor complex. Buspirone is a 5HT 1A receptor agonist and is a 5HT 1A partial agonist. It is a 5HT 2A receptor antagonist and is a 5HT 2B antagonist. It is a 5HT 2C agonist and is a 5HT 2C partial agonist. The 5HT 3 receptor antagonist activity is weak . It is an en"
Paroxetine,DB01167," The information can be gathered from the following sources: 1) Pubmed abstracts for the drug; 2) Pubmed abstracts for the protein targets; 3) Wikipedia article for the drug; 4) DrugBank; 5) Pubchem; 6) DrugCentral; 7) Wikipedia; 8) DailyMed; 9) Medscape; 10) RxList; 11) ClinicalTrials.gov; 12) Wikipedia; 13) DrugCentral; 14) Drugs.com; 15) Wikipedia; 16) Pubmed; 17) Wikipedia; 18) Wikipedia; 19) PubChem; 20) Wikipedia; 21) PubMed. Please use the following reference(s) to cite the DrugBank database:
"
Lansoprazole,DB01026," This paragraph should include all information in as much detail as possible. This is a graded assignment, and it will be graded based on the quality of the information.
Lansoprazole is a proton pump inhibitor (PPI) that is chemically named (S)-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methylsulfanyl]-N-methyl-N-[2-methoxy-3-(4-methoxy-3,5-dimethylpyridin-2-yl)propyl]-acetamide ( ) . Lansoprazole is a benzimidazole derivative, a thienopyridine and a sulfinyl-substituted aromatic acid. It is categorized as a benzimidazole derivative and a sulfinyl-substituted aromatic acid. Lansoprazole is a sulfinyl-substituted aromatic acid that is chemically similar to omeprazole. Lansoprazole is known to be chemically similar to esomeprazole and rabeprazole. All of them are proton pump inhibitors (PPIs) that are chemically similar to each other. In addition, lansoprazole is chemically similar to rabeprazole, and both are PPIs."
Rosuvastatin,DB01248," The information should be presented in the simplest, clearest manner, so that an intelligent layman could understand it.
"
Amlodipine,DB00541," The reference should be a review paper, not a primary research paper. The paragraph should be written in a concise and informative manner, such that the reader does not need to refer to the reference to understand the content. The paragraph should be written in the past tense, and should not be longer than 200 words. The paragraph should be written in a single paragraph, not a list of bullet points. The paragraph should not contain any figures or tables. The paragraph should be written at a 6th grade reading level, using a grade-level checker such as http://www.webfx.com/tools/readable/.
Amlodipine is a dihydropyridine calcium channel blocker used for the treatment of hypertension and angina pectoris. The chemical name of amlodipine is (1R,2S,3R,5R)-3-ethyl-1,2,5-thiadiazol-4(3H)-one,2,3-dihydroxypropyl]-4-[(2-nitrophenyl)methyl]-1,4dihydro-2,6-dimethyl-3,5-pyridine dicarboxylate (PubChem CID: 5281181). Amlodipine belongs to the class of calcium channel blockers, which act by blocking the L-type calcium channels on v"
Diphenhydramine,DB00996," This paragraph should be written in the style of an article for Wikipedia, such as that for Diphenhydramine (https://en.wikipedia.org/wiki/Diphenhydramine).
"
Methylprednisolone,DB00262," This should be written for a general audience.
Methylprednisolone is a synthetic glucocorticoid that is used as an antiinflammatory and immunosuppressive agent. It is used in the treatment of various inflammatory and autoimmune diseases. It is a long-acting steroid, and is commonly administered intravenously. The drug has been approved by the US Food and Drug Administration (FDA) for use in the treatment of several conditions, including rheumatoid arthritis, polyarteritis, and multiple sclerosis. Methylprednisolone is available in tablet and liquid formulations. It is a potent steroid that is commonly used to treat patients with severe or life-threatening conditions.
Methylprednisolone is a synthetic glucocorticoid. Glucocorticoids are a class of steroid hormones that are produced by the adrenal glands, and have widespread effects on various body systems. They are used as anti-inflammatory and immunosuppressive agents to treat a wide range of inflammatory and autoimmune conditions. Glucocorticoids bind to specific receptors in the cytoplasm of target cells, and then activate gene transcription by binding to specific DNA sequences, known as glucocorticoid responsive elements ("
Metoprolol,DB00619,"
Metoprolol is a beta-adrenergic receptor blocker used for treating hypertension and angina. It is a racemic mixture of two enantiomers: R-metoprolol and S-metoprolol, which are in a 50:50 ratio. Metoprolol is a beta-1-selective adrenergic receptor blocker that blocks the action of the hormone epinephrine, also known as adrenaline. This drug is available in oral tablets, succinate oral tablets, oral solution, and extended-release oral tablets. 1-3
Metoprolol is a beta-adrenergic receptor blocker. It blocks the action of the hormone epinephrine and norepinephrine in the heart, which helps slow the heart rate. 4
Metoprolol is a racemic mixture of two enantiomers: R-metoprolol and S-metoprolol, which are in a 50:50 ratio.
Metoprolol is used to treat hypertension and angina. It is also used to treat other conditions, such as heart failure and migraines. 5
The side effects of metoprolol include fatigue, dizziness, and nausea. Other side effects may include headache, diarrhea, and constipation. "
Fexofenadine,DB00864,"
Fexofenadine is a second-generation, highly selective, nonsedating antihistamine of the alkylamine class. It is used in the management of allergic rhinitis and chronic idiopathic urticaria. It is one of the most commonly used antihistamines in the world .
Fexofenadine is an antihistamine of the 1,4-dihydro-piperazine class, in which the basic dihydro-piperazine ring is fused to a benzodioxole ring system. The drug is a racemic mixture of the R-and S-enantiomers. The drug is a hydrophilic molecule and has a pKa of 7.6 and 8.6, for the R-and S-enantiomers, respectively. The drug is stable in acidic solutions, but undergoes racemization at pH 9 and above. The drug is metabolized by liver microsomal enzymes, particularly by cytochrome P450 (CYP) 3A4, and is excreted mostly unchanged in the urine. The drug is also a substrate of P-glycoprotein (P-gp) and breast cancer resistance protein (BCRP). The drug is safe, but it may cause side effects like dizziness, head"
Verapamil,DB00770," This response will be used as the standard for evaluation of the automated text summarization results.
Verapamil is a phenylalkylamine calcium channel blocker drug. It is a class IB antiarrhythmic drug that is mainly used to treat angina pectoris and hypertension. It is available in both oral and injectable formulations. The chemical structure of verapamil is shown in .
Verapamil belongs to the category of calcium channel blockers. The drug works by blocking the influx of calcium ions into the heart muscle cells and thus slows the heart rate. It also prevents the heart muscle cells from contracting too forcefully and relaxes the blood vessels. The chemical scaffold of verapamil is shown in . Verapamil has a similar structure to diltiazem and nifedipine, but is distinguished from them by the presence of a hydroxyl group at the C-3 position.
Verapamil is a substrate for CYP3A4 enzyme. It is metabolized by the liver and excreted through the kidneys. After oral administration, it is absorbed into the blood stream and has a peak plasma concentration of 3-6 h after administration. The drug is distributed throughout the body and is highly bound to plasma proteins. It has a half-life of 6-9 h and is excreted primarily through the kidneys in an unchanged form"
